,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
82,82,5,18,19,13,-0.7638986245135466,7,14,16,27,-0.0830077802996567,4,5,11,14,0.4795156651410318,3,6,28,26,-0.006123309412785,2,11,20,21,-0.3916089781528447,2,11,12,13,-1.2516357456300944,1,2,4,11,0.0884765430591065,2,4,6,10,0.2965661840665892,4,6,10,12,0.1321542677647809,5,6,9,10,0.4979414070914627,1,3,7,10,0.9515832761508385
83,83,20,21,25,27,-0.6211364988249879,5,16,19,13,-0.7672164025892139,12,20,21,31,-0.11628547834805,5,11,22,31,0.1132339482932167,4,5,11,13,-0.2802532448262678,12,15,20,22,-0.7497093408532254,2,5,6,11,-0.0751882055126489,4,5,10,12,0.5429790078454808,2,19,28,5,-0.6911083014474504,5,10,14,19,0.8029945041037034,1,3,7,10,0.9516024631586292
84,84,2,4,6,26,0.1036032691685537,1,2,6,24,-0.0226880561386022,1,8,10,30,0.9473305902440252,5,11,12,15,-0.7240884524587088,2,4,9,10,0.204835686361451,10,11,12,13,-0.5409768217960402,6,7,10,12,0.5065340198888453,2,6,13,19,-0.8944451248085394,6,13,27,28,-2.4302635333943785,4,5,10,11,0.534352087103964,1,3,7,10,0.9518130862216779
85,85,1,8,9,17,0.1568797287864144,1,4,5,11,0.4581101517837752,6,10,20,21,0.182975935349829,10,14,21,27,-0.3368714280245199,9,15,18,19,-1.7161359541488537,4,5,6,11,-0.0628212389346756,12,13,14,25,0.2423597166236183,2,5,10,21,0.4225928656630096,10,14,21,27,-0.3368714280245199,2,6,10,11,0.108984688705318,1,3,7,10,0.9516222839429264
86,86,5,9,14,25,0.7797048241304098,3,13,14,30,0.7236620776397306,1,2,10,13,0.5991347311790498,6,10,12,14,0.4702260181516087,1,2,5,6,0.5609651235284021,2,4,11,12,-0.7877922507605903,4,5,13,21,-0.3630714429552713,2,6,11,27,-1.079566238394757,2,4,6,17,-0.5266971705491366,12,13,14,26,0.2377111386378054,1,3,7,10,0.9513177407429291
87,87,4,20,26,2,0.4990849517348044,7,13,18,29,-0.8468748565069331,1,2,8,10,0.877380451507998,2,9,15,19,-0.9611045291976604,6,11,13,19,-1.4605463075507563,2,5,6,11,-0.0559121920186476,2,4,5,6,0.1233969631921202,5,6,11,12,-0.4373641216493849,5,9,10,12,0.3998785746353723,2,5,10,13,0.5304082318238944,1,3,7,10,0.9511131191852359
88,88,13,15,20,24,-0.7308520426824194,2,5,6,7,0.5603054388012692,4,5,6,12,-0.0503169190857706,2,12,14,15,-0.1741443843894121,5,10,11,12,0.287417196363767,2,12,27,30,-0.405958792808565,4,5,14,21,0.3731184273623693,3,5,10,19,0.7507490370523491,2,4,6,10,0.2953377017117156,5,10,12,13,0.2777480769175181,1,3,7,10,0.9518712129652963
89,89,1,22,31,8,0.5276243434891879,5,9,11,13,-0.5495811110183442,4,5,7,14,0.8466536992161622,4,5,6,7,0.5799899818244209,2,3,4,5,0.4086334450580454,2,6,10,12,0.1352788704760062,2,4,6,13,-0.5680140182426026,2,10,12,17,0.0246626238591942,2,4,9,10,0.2201245072890053,2,6,10,13,0.1125402831705515,1,3,7,10,0.951461195166498
90,90,1,4,5,10,0.8579601262805183,1,5,12,14,0.7894296310971088,2,6,12,19,-0.8658187701207305,5,13,22,25,0.0112357987671009,6,12,13,19,-1.4617820855198929,2,6,10,11,0.1092364639041602,4,5,6,11,-0.0623955029528029,2,10,14,21,0.4524016493783075,1,5,6,14,0.8581016469218748,1,10,11,12,0.3618585677862441,1,3,7,10,0.9516819910748353
91,91,3,9,14,29,0.2423010023563809,7,8,15,19,0.1048349072907239,4,11,13,25,-0.2429219352688683,2,19,29,11,-1.420378434232589,2,10,12,14,0.5858247066487424,5,10,11,21,0.1821918150426369,6,11,21,28,-2.437107796587253,2,4,5,11,-0.0247861413159946,2,4,6,10,0.3097731825941832,2,4,5,6,0.1209682076343788,1,3,7,10,0.9513922774138281
92,92,2,5,10,16,0.550889682380606,4,5,6,7,0.5678727892370388,6,9,26,29,-0.5383625674717103,10,11,20,24,0.2088619622168088,10,11,12,23,-0.6370215236704122,6,10,15,26,0.4323288381471788,5,6,11,12,-0.4551899829877057,2,4,6,13,-0.590853561242852,4,5,10,11,0.533907831337205,2,4,5,6,0.1034948417023298,1,3,7,10,0.9515169836508198
93,93,5,16,21,22,-1.7872335140367177,1,5,12,21,0.1030810343103395,4,10,11,13,-0.0821000059727241,5,25,24,29,-0.4108294004279755,2,6,10,12,0.1200566470359988,6,12,13,14,-0.3921933869992575,10,12,22,23,-1.0791886569672688,5,9,10,19,0.3790140804201624,2,4,6,19,-0.5310510664171177,10,11,26,4,0.5396891146511101,1,3,7,10,0.9516336853535247
94,94,5,18,20,31,0.6068958656198375,10,13,14,16,0.3525635324423075,2,5,6,13,-0.071503215330825,25,28,30,31,0.4005321891244988,2,5,6,25,0.4755039357504351,2,9,10,25,0.5907520978085272,2,22,23,5,-0.7825814053380453,4,10,12,19,0.0296151587666185,6,10,12,14,0.4738762685815785,4,11,13,14,-0.1739212545384825,1,3,7,10,0.9515506243632035
95,95,15,17,18,21,-2.6412181620210005,4,5,16,26,0.3400329024517526,14,17,26,30,0.5882637731379168,5,7,11,13,0.1883661048697296,22,23,24,18,-3.985456559517496,11,13,26,29,-0.8228678722872136,6,11,19,22,-1.8530778725841937,2,4,5,13,-0.0544536393398904,2,5,6,10,0.6298511300502012,2,5,6,27,-0.2046924422477709,1,3,7,10,0.9518877872569129
96,96,6,14,16,23,-0.8592390998896491,9,11,24,7,-0.4708472752707482,4,10,14,21,0.4579600172445475,1,12,22,24,-0.9720198616827552,5,13,19,25,0.1261977363605344,6,10,11,13,-0.3152590660345673,10,11,12,14,0.3230028128366502,2,5,6,10,0.6310358526356414,5,13,14,21,0.1085985327417174,5,10,11,22,0.2263026194120716,1,3,7,10,0.9518626418406052
97,97,9,12,15,17,-1.5424342997290452,12,13,16,26,-0.6363137574360991,3,5,6,11,0.2805297749759708,2,6,10,12,0.1230588965310652,4,6,10,13,0.1098707937528472,2,4,10,12,0.1788595326420754,9,12,14,20,0.2765886497818539,4,6,7,10,0.7083476366291545,2,4,6,10,0.2975312796979491,2,6,10,12,0.1230588965310652,1,3,7,10,0.951735077997514
98,98,6,7,9,18,-0.2211214470898947,5,6,21,31,0.1694912677809885,4,10,19,29,-0.3401332595090895,10,12,21,29,-1.0545647605693644,4,5,6,2,0.1241015583908011,6,10,14,19,0.4495444064644671,4,5,6,13,-0.0550847884638721,2,5,6,10,0.6417345918260001,2,5,13,19,-0.1707870701210341,2,10,11,12,-0.0437738085126626,1,3,7,10,0.9512591594186257
99,99,5,22,30,12,-0.0068856130638226,9,12,16,25,-0.4951454560683643,8,13,14,23,-0.1307520142270768,12,13,24,31,-0.6840491303804392,2,13,21,22,-1.7633829715478764,2,5,11,23,-0.3705652971257436,5,6,11,13,-0.4880591553249747,5,6,13,16,-0.4224172638339221,2,5,10,11,0.5267164267024835,2,4,10,12,0.1775054941799292,1,3,7,10,0.9518642516444764
100,100,2,6,10,16,0.1193198394089175,2,5,9,24,-0.2000338018547591,2,10,11,12,-0.0599816885760262,2,3,4,8,0.4382251311281657,5,9,12,15,-0.5401895142798026,2,5,10,19,0.5514328963457029,4,5,10,11,0.5347532227792813,7,22,31,27,-0.3515738929969942,2,10,11,14,0.5683373813928198,2,10,12,21,-0.1689655935559608,1,3,7,10,0.9519011574114511
101,101,2,19,27,30,-0.6878773655524302,11,12,13,14,-0.6315269975066755,3,4,5,8,0.7159066339875428,5,7,10,12,0.8076815988667075,4,5,6,7,0.5795527453152161,6,28,15,27,-2.399712645400337,5,6,11,12,-0.4405830321720261,2,11,12,16,-1.0612762730344554,9,10,19,20,0.3293985334642018,4,5,10,11,0.5442459272049174,1,3,7,10,0.9516680193096235
102,102,4,5,6,8,0.4481894135611363,4,5,10,13,0.5276065673710495,2,6,12,13,-0.9573466085568976,5,13,25,31,0.7313590148806671,6,25,27,30,-0.0417574934051729,5,6,27,28,-1.2989282423172024,2,6,21,28,-1.8234945985539008,2,4,6,12,-0.5591281263162311,2,6,13,19,-0.8922983407039773,2,6,10,14,0.6647195734292684,1,3,7,10,0.9517450745168342
103,103,3,7,11,12,0.2346928954587254,22,12,3,15,-0.7084424864273429,9,13,14,18,-0.4111776493395012,4,5,6,23,-0.2034575876903548,2,10,12,13,-0.0586439458834422,5,11,22,27,-1.180376018134003,2,14,22,26,0.3788242782967863,2,5,6,10,0.6400456166319426,5,6,12,22,-0.5197008822023448,3,5,6,10,0.8268095271519473,1,3,7,10,0.951757129888549
104,104,5,13,7,2,0.443640746424259,4,9,10,19,0.058607143729306,9,10,13,14,0.3968948350595891,8,11,13,19,-0.869335936324648,2,6,7,14,0.6460285723401202,2,7,25,6,0.5613480856821389,10,14,26,30,0.9278990873954251,12,13,19,28,-2.2804332383351125,4,10,11,12,-0.0485485067048985,4,5,6,10,0.6397725543616962,1,3,7,10,0.9517281622124218
105,105,3,12,19,28,-1.0834894553544685,4,7,14,20,0.8139636879666128,6,11,13,21,-1.7174204221114118,5,6,10,17,0.4384807048530468,4,12,15,10,-0.039697819599642,6,10,13,22,-0.3812698962462573,6,10,11,12,-0.2678902868769865,6,24,29,12,-1.9696264214074004,4,6,7,11,0.0702407807523537,2,5,6,12,-0.0396937522399571,1,3,7,10,0.9513688073555591
106,106,7,9,10,12,0.4617516324218133,7,9,14,25,0.8282038359210109,6,11,16,27,-1.9089089805136057,2,5,11,13,-0.2841620392045292,14,19,21,23,-1.9051239221740277,5,6,12,30,0.2728691276143126,9,27,31,20,-0.0436099604299324,5,12,13,27,-0.7792555073642278,10,11,12,13,-0.5351365405769422,5,6,10,13,0.4273162161866239,1,3,7,10,0.9513889602730643
107,107,3,5,13,18,0.1764167312609529,14,15,28,2,-0.3382165067231257,5,13,14,16,0.2775180377278571,11,12,14,16,-0.5086883185080247,11,14,25,27,0.1075413684085433,5,13,21,27,-1.3286229630389412,2,4,5,6,0.1122013624654257,5,7,10,11,0.7988667648085976,5,10,12,14,0.8155178307670519,6,10,12,19,-0.2404512839356387,1,3,7,10,0.9515447830701779
108,108,2,4,5,9,0.0282657037715503,21,11,15,4,-1.301051366947418,9,12,22,25,-0.6151170935476671,4,5,12,14,0.5034462897255515,5,10,14,24,0.7702831779482031,5,6,14,19,0.3963562771298827,2,7,12,14,0.5658014533840742,6,10,11,12,-0.2676638645887896,6,14,20,30,0.8235034295183017,4,11,14,30,0.49235859702712,1,3,7,10,0.9513185823557799
109,109,8,10,23,30,0.4700962177096939,11,12,18,20,-0.5751457059318312,3,4,14,19,0.5315797895403904,5,12,24,28,-1.2356091740843929,6,14,17,22,-0.732611842555116,5,6,10,29,0.3310834097330892,7,9,11,14,0.3981110302491886,4,5,6,14,0.6013403303262,2,7,10,14,0.8982079156138212,11,12,13,21,-1.9845251750917583,1,3,7,10,0.9516301758749426
