,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,top-a0,top-a1,top-a2,top-a3,top-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r
63,63,63,5,7,10,15,0.2503280171132657,3,10,14,4,0.7842177641065056,3,6,10,11,0.9817822257443526,3,6,10,11,0.9817822257443526,4,6,13,16,0.7699222527086216,1,6,11,10,0.7294190629344521,3,16,6,10,0.9454803051287487,3,10,11,13,0.8890018186212824,3,7,11,13,0.8738576655033314,3,6,7,11,0.9739591807542477,3,6,10,14,0.9476578196408894
64,64,64,12,5,3,2,-0.8465534126039649,1,14,4,10,0.1360989930179675,6,11,14,15,0.6506840717663134,3,6,10,11,0.9801853462198468,3,7,10,11,0.9191118245740235,6,7,11,10,0.9191284267380471,3,5,7,10,0.8463102434586464,3,5,6,10,0.8822168093628908,6,7,10,11,0.9191284267380471,7,11,13,16,0.9190847749629433,3,6,10,16,0.948551905432536
65,65,65,4,15,9,16,-1.3301178850122648,3,8,10,15,-0.1725629904976966,3,5,7,10,0.8470345034375171,3,6,10,11,0.9799241412370574,6,10,13,11,0.88704860988663,3,6,11,16,0.9488078144788574,6,7,11,16,0.9753860825106065,3,10,11,14,0.9844267000213971,3,6,13,11,0.9567424568220954,3,7,10,11,0.9188506168569484,7,11,13,3,0.8719429284304147
66,66,66,7,15,13,6,0.6407436297579545,14,15,9,5,-1.2614213953090356,3,7,11,13,0.8740803524930223,3,6,10,11,0.9817188724422176,10,13,16,11,0.9323437462849496,3,10,11,16,0.9809426286047959,1,3,11,14,0.6371264399655364,13,6,3,10,0.9573282219052301,3,6,13,14,0.9592279441475469,13,7,3,10,0.8733640995924371,3,7,13,16,0.9616456430360739
67,67,67,1,2,3,14,-0.369809101121497,13,14,16,7,0.898661302544405,1,6,10,11,0.7296832771747639,3,6,10,11,0.9819615599788593,14,16,7,10,0.897679186924709,3,6,7,11,0.9741696002596235,11,10,14,4,0.8058842678085325,3,6,7,13,0.9494009767657191,3,7,10,11,0.922288633181804,10,11,3,7,0.922288633181804,3,6,11,14,0.9470425215060296
68,68,68,10,13,14,4,0.7723890471306285,5,6,13,15,0.2463704103707156,1,2,10,14,-0.3104060349770041,3,6,10,11,0.9817028653735808,11,14,3,5,0.8325178762217342,3,13,16,10,0.9691917645025967,6,11,16,7,0.9732613527971494,10,13,16,11,0.9325074575310641,3,6,10,13,0.9574119522276368,6,16,3,10,0.9453472546656317,3,6,7,10,0.9735727588476956
69,69,69,1,9,15,14,-2.2328264251014804,9,13,7,4,0.0735863065109466,3,6,10,11,0.9819730554818984,3,6,10,11,0.9819730554818984,7,11,16,6,0.9729809046868325,3,7,16,5,0.8138093041372126,2,3,10,13,0.6851090961092695,3,4,7,13,0.7545552420557855,5,10,13,14,0.8170037883395888,3,6,10,13,0.9579033171473349,3,6,11,16,0.9446229379303902
70,70,70,1,3,5,10,0.3121003973567762,3,15,16,2,-0.3742258518346903,13,5,3,1,0.2409102864102374,3,6,10,11,0.9820524179928564,13,14,5,3,0.8196541872822847,6,16,14,3,0.719970910106643,3,6,7,16,0.9448825660599338,10,11,6,7,0.9222008469530557,3,5,11,13,0.8208776804603756,3,11,14,12,0.6463148825037757,3,6,10,11,0.9820524179928563
71,71,71,6,7,11,14,0.9744995344774344,3,14,4,1,0.060529296232921,14,16,1,13,0.412842699804239,3,6,10,11,0.9821150314800248,3,10,11,13,0.8895285776661114,3,6,9,13,0.6779411847436759,3,6,13,14,0.9587251890370095,5,6,10,3,0.8781907991261471,3,7,14,10,0.974691460670905,6,10,11,16,0.9801956447875315,6,7,11,13,0.8743428037583665
72,72,72,12,14,15,2,-2.0257293586053606,6,11,9,14,0.5985821935927069,7,11,14,16,0.8991125765056116,3,6,10,11,0.9818443167842936,15,10,6,3,0.7452963917146178,5,7,10,13,0.7019476308544852,10,11,15,13,0.5647424372913209,7,10,11,13,0.7498623499664954,3,6,7,13,0.9493456297532936,10,4,11,14,0.8054547434414377,6,10,13,14,0.9701392954120763
