,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r
102,2,7,12,10,0.8126709025290725,3,8,11,12,0.6044007807839044,1,8,10,7,0.9338976956642623,7,12,1,11,0.8178160517631945,1,6,7,8,0.98171610677261,1,7,8,11,0.8347529513804067,6,12,7,1,0.9550028901047012
103,2,3,6,8,0.2045567918911484,1,7,4,12,0.833232182030936,1,4,7,10,0.8665129692275204,4,6,7,10,0.8693147618108632,1,7,10,6,0.9817329234055653,1,2,6,8,0.8685477217996878,6,8,10,11,0.9923254577051154
104,8,5,11,6,0.616118100009216,1,10,13,11,0.5430317768575808,4,6,8,10,0.8482136850004963,5,8,7,1,0.7194363647341833,4,11,10,2,0.44931409298385216,1,6,7,12,0.9485846178314757,6,7,8,9,0.871439610836981
105,1,2,5,10,0.11809331103902487,5,8,6,2,0.21753000478779605,8,10,6,1,0.9839474290937066,7,12,8,11,0.8353007922770233,1,10,13,8,0.6812607133152772,8,10,7,6,0.9762425244614767,6,8,7,1,0.9804426895836645
106,10,9,6,12,0.7752531781459929,1,2,7,10,0.7883148907274203,2,7,8,10,0.8608278085425901,6,8,10,1,0.9799053086740488,6,7,8,10,0.9805042737044051,11,12,1,8,0.8012048144413307,4,6,7,8,0.8988552597922606
107,8,9,11,13,0.24151701112054558,4,6,7,9,0.5489413065614537,1,2,4,8,0.6021808926026102,6,7,8,10,0.9810605654278413,6,7,10,11,0.9899574272140963,6,7,12,10,0.9840595957896466,6,8,12,1,0.9656845243343444
108,1,11,12,7,0.7960989820132416,6,12,7,10,0.9875674671088945,4,7,10,12,0.870843936384289,8,12,6,7,0.9854911489886873,6,8,9,11,0.8900463211504652,6,7,8,12,0.9807260937152309,1,6,7,12,0.9558120187683277
109,5,10,11,4,0.09568416329972995,12,7,2,8,0.858596438948765,4,7,11,12,0.8168456425245836,8,10,12,1,0.8870850487964632,6,7,12,4,0.8967204031517382,8,6,12,4,0.9145539820887242,4,8,12,1,0.8430333519457309
110,11,2,4,6,0.47606310297776955,2,13,6,8,0.21848490641026763,6,7,12,3,0.6216797188037967,1,2,4,12,0.5080505023584547,1,4,7,11,0.8290784082437029,6,8,10,12,0.9839981247396565,6,7,12,10,0.9836269727198923
111,1,2,6,5,0.1321680977152503,1,7,11,8,0.8868727634073009,1,6,4,8,0.9031604069226788,4,8,11,12,0.8107867428719213,1,7,8,10,0.9264942789741704,6,7,9,8,0.8843548579514532,6,7,8,10,0.9748533751496531
112,4,1,6,11,0.8536426709164705,1,4,6,8,0.9054400594339619,10,2,5,9,-0.6599083690978955,1,11,13,7,0.6063436233013777,1,6,12,10,0.9644130427696889,6,7,8,10,0.9856325611595298,1,8,12,7,0.9020596464413279
113,1,10,8,13,0.6773468616943386,1,8,10,4,0.8608783543512617,8,10,11,7,0.9263269345886196,4,12,1,11,0.7186584108062151,7,2,8,11,0.8468267340554503,1,6,10,7,0.9836624300835297,7,8,10,11,0.9342491000872248
114,1,6,9,12,0.7734463979920535,1,7,8,11,0.8750883661706476,1,7,9,10,0.791259464679225,1,7,8,11,0.8736916256113474,6,7,11,8,0.9871342498294874,6,7,8,10,0.9750988996987113,7,8,11,1,0.8306194426722493
115,5,10,11,12,0.5502669269274796,10,2,5,13,-1.1557620054266122,6,7,10,11,0.9882318346080508,6,7,11,1,0.9559325470443628,6,10,7,11,0.9825189764175069,6,10,1,2,0.7873420214395948,4,7,8,1,0.909486417778622
116,8,13,10,1,0.6772752685984501,6,7,10,11,0.9849437179617531,6,9,10,11,0.798001207299295,2,6,7,12,0.8683186059263582,1,7,8,11,0.8906307943943931,7,8,10,6,0.982874285306588,7,10,11,12,0.8763190374785124
117,2,3,13,5,-3.2783995155559253,11,7,13,1,0.6345214956723801,1,6,7,10,0.9832829647595369,1,6,8,9,0.8375212350207443,1,6,11,8,0.9721733408459136,1,6,7,11,0.9537466336177688,1,6,8,10,0.9805831344247703
