,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
160,160,160,160,160,1,6,10,14,0.931994186236174,1,16,19,23,0.8534603630429436,4,15,28,34,-0.2261515659607837,4,11,13,17,0.8378635232831191,5,6,18,20,0.690589996601779,8,10,18,19,0.864152153214886,5,8,21,24,0.6447344994990042,7,13,16,20,0.6879411109577214,10,17,19,24,0.976634906466829,6,13,22,43,0.8593707651398957,1,4,10,6,0.9616824102817784
161,161,161,161,161,3,7,36,38,0.3482363468791356,4,5,10,19,0.8919917529642097,3,5,18,21,-0.4490387650685892,6,14,20,21,0.8884591281564502,5,8,13,24,0.5816835420061779,10,13,22,23,0.901243905787064,17,18,19,21,0.4060337402116882,6,10,11,19,0.9353744073167558,5,6,8,10,0.9292054160949672,7,8,10,12,0.959547677693987,1,4,10,6,0.9653877265686909
162,162,162,162,162,2,10,13,14,0.7445670672168501,13,16,19,23,0.6337325519197521,7,13,17,32,0.925052855761362,5,6,8,19,0.9097562249442313,7,14,21,22,0.8116938648076828,8,16,24,26,0.832385311307203,19,27,32,38,0.8345854483716904,5,10,13,20,0.6596201853726266,17,27,41,43,0.7121032747333148,5,7,10,18,0.7468960255029538,1,4,10,6,0.961262900999149
163,163,163,163,163,7,12,16,24,0.6930361070557705,5,12,13,28,-0.1189334711698109,3,52,54,59,0.7912273382329524,6,16,18,23,0.5795590503310681,5,6,10,13,0.6919198757660094,20,21,31,35,0.8926256079791995,8,13,18,19,0.5985944744724396,8,10,18,19,0.8619082313496585,5,6,8,10,0.9288090633419742,5,6,7,10,0.9538561898419746,1,4,10,6,0.9658101564272685
164,164,164,164,164,17,23,24,29,0.97399384051999,2,13,18,26,0.1360715374045813,4,16,19,20,0.825904479082328,18,19,20,26,0.8468330119378485,3,5,6,13,0.1768021203710504,8,16,17,18,0.4158730552257654,6,13,18,20,0.6914044403864906,5,18,21,31,0.1635109641307527,7,10,13,20,0.9548988610063934,6,13,17,18,0.6236943594940401,1,4,10,6,0.9648631270468583
165,165,165,165,165,4,10,12,50,0.7595230178358374,5,7,21,24,0.6959117158694131,1,17,19,26,0.977585981677015,5,7,10,20,0.9521367069247026,16,19,20,28,0.3883288995263156,6,10,13,21,0.7406456236209273,5,10,16,19,0.6008158740265496,10,18,19,21,0.5052036669664792,5,13,17,20,0.4909956550774559,6,13,16,17,0.5852215529955871,1,4,10,6,0.9644431082657288
166,166,166,166,166,17,18,35,40,0.4676138931146099,22,24,29,32,0.8873747911746359,2,7,9,17,0.7991543059269551,11,19,21,22,0.7524606556279959,8,10,16,21,0.55809979055954,1,10,18,19,0.8639066923797892,2,13,18,20,0.1287016687623763,10,12,13,18,0.496570756682189,2,10,19,21,0.4923751386900445,5,10,16,18,0.1493420928391294,1,4,10,6,0.9647813425323661
167,167,167,167,167,2,28,31,35,0.506204270527414,9,11,14,15,0.8261090859051703,16,25,32,33,0.4994393849924757,3,10,25,27,0.9456473821610848,8,14,17,21,0.8464732865681006,6,10,21,32,0.9105796309845856,18,30,38,41,-0.4058511291926114,10,16,18,20,0.5431716393037959,5,7,21,36,0.4377227244377739,5,6,10,18,0.7219508033407968,1,4,10,6,0.9613056405528021
168,168,168,168,168,1,15,20,25,0.835067796383236,1,6,9,21,0.8729891867176311,5,12,15,25,0.3859461012102091,6,13,19,38,0.594353937575066,3,5,14,18,0.3503501092609762,5,6,10,34,0.6848113181723983,2,4,6,11,0.8104299723520373,6,10,19,21,0.8736900978589801,5,6,10,18,0.7158492554274698,5,6,19,21,0.6524628362121438,1,4,10,6,0.9653290825063714
169,169,169,169,169,20,28,39,41,-0.4141443456036668,5,6,13,18,0.2699166909964402,1,13,14,28,0.7004552143804801,4,10,16,17,0.8550269766268118,2,6,8,9,0.8583929311175889,6,10,13,21,0.7372334490967294,6,12,13,16,0.4512585396611939,5,8,13,17,0.4872206444151387,5,6,24,33,0.5935757903354402,5,6,13,18,0.2699166909964402,1,4,10,6,0.9654859675147583
