,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
156,156,9,10,18,19,0.0681440103643601,13,19,26,27,-1.0303131034079391,9,23,26,7,-0.87848597724415,6,9,15,20,0.6157601345480294,7,16,23,26,-2.1209741348988245,1,6,9,13,0.8353979466486101,1,5,13,23,0.6374833929770458,6,7,17,23,-1.9037633830609573,1,6,9,19,0.6339422381101152,1,9,13,16,0.7958713131253077,9,13,1,6,0.8353979466486101
157,157,4,9,18,27,0.2347447538998427,1,24,11,17,0.211414777792778,2,6,7,17,-0.5541391653932679,1,5,6,13,0.8037178170208895,1,28,29,26,0.5107668755214099,1,5,6,9,0.8296587257707908,1,12,17,18,-0.6686628288005565,1,6,9,10,0.4984505483860382,6,9,16,21,0.5619756491079984,6,9,13,20,0.6266242088707236,9,13,1,6,0.8345346112416376
158,158,1,3,4,5,0.9115919706182376,9,15,22,18,0.3451890368683503,6,8,9,13,0.8451910844241717,1,6,7,13,0.3178381702916729,5,6,16,18,-0.429362143136959,1,15,29,28,0.972985561556156,1,6,9,11,0.6809887798011958,6,9,13,18,0.4581474536245393,5,7,9,14,0.3646595333466554,17,27,30,13,-2.2735560898934764,9,13,1,6,0.8344612532597362
159,159,22,23,13,24,-0.2495060062188825,6,11,14,15,0.2340259428845483,1,7,9,21,0.8065885214433393,1,5,6,9,0.8250326481966913,13,15,19,23,0.4376453881531994,7,18,20,23,-1.4303448597555053,1,7,9,17,0.160614659598162,1,6,15,26,0.1539461427697557,6,13,17,20,-0.3406553951833075,1,6,13,28,0.722632315163986,9,13,1,6,0.8341540698542425
160,160,1,4,28,26,0.5681166715219972,6,8,9,13,0.8449602866044137,1,5,7,11,0.4107182462429926,1,23,29,9,0.6860897891743917,1,7,9,21,0.8076440913697258,6,17,19,23,-1.537539713111132,5,7,13,14,0.3126394478130454,1,5,6,13,0.8047681413074212,1,19,30,24,-0.0667704942216318,6,9,13,19,0.674328163476532,9,13,1,6,0.8351227918360546
161,161,8,22,23,30,-1.625530958180012,6,14,25,26,-0.5105892176711408,13,18,31,5,-0.0376449447725142,1,5,18,24,0.5786643904418232,11,16,19,23,-0.6423237395009262,7,11,16,17,-1.1893594403047576,5,9,11,20,0.6898993400843079,5,15,19,24,0.7942896153752677,9,24,6,31,-0.0115495991434417,5,9,13,29,0.917747507600691,9,13,1,6,0.8353911741898254
162,162,11,14,26,28,-0.2500259866376573,5,6,15,18,0.3936032847382397,1,5,9,14,0.8103445959645219,11,18,15,17,-0.0798901128483728,15,26,27,23,-1.8642575714607263,1,17,23,30,-2.058165017448262,1,16,24,21,0.7052920307237958,1,6,9,23,0.3493139715864233,7,16,21,25,0.328880534500481,9,16,26,28,0.183868577489858,9,13,1,6,0.8348971255300774
163,163,16,17,19,31,-2.0754355289940443,9,13,20,23,0.4041213452514359,6,18,23,26,-1.983078647658564,9,12,17,18,-0.4455858878382066,9,26,6,30,-1.1291292846285428,1,5,7,9,0.7511817530299195,1,7,9,13,0.7659365109820867,1,7,9,13,0.7659365109820867,6,13,17,20,-0.3400099007952355,9,26,31,1,-0.5498203666776631,9,13,1,6,0.8349635587236828
164,164,8,19,2,17,0.2852531203855084,6,7,11,14,-0.8033167684474676,1,7,14,16,-0.5234943031930246,7,11,16,17,-1.1870954061847234,18,29,7,27,-0.8894789392584626,9,17,24,25,0.5349876817081674,7,16,19,24,-0.3888786563100956,1,16,20,24,0.2638221648597201,1,5,9,17,0.587431700705909,1,24,30,6,-0.1807544185521263,9,13,1,6,0.8350835330055008
165,165,7,8,9,27,0.218618910355987,11,13,18,22,-0.108670508118353,18,28,13,5,0.7396163651698706,7,9,27,28,0.1131178905069631,1,7,9,15,0.7467619312708801,1,9,10,26,0.2046179551913012,9,16,24,28,0.7128521875871661,5,7,20,28,0.4097806887503487,9,13,17,18,0.2576949154829834,1,5,7,9,0.7536489262212563,9,13,1,6,0.8356437075177244
