,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
123,123,123,123,13,16,20,23,0.9067916398706128,2,3,7,40,0.2355672430267423,14,25,28,31,0.1239175961146096,1,5,9,26,0.8499247706201993,7,8,11,20,-0.990552029076416,9,17,20,26,0.8870285234559538,14,18,20,23,0.7873993011229559,1,7,9,14,0.9638104001819194,9,11,14,16,0.3688902572784788,5,7,8,11,-0.554032992253306,20,11,8,9,-0.9748343436668827
124,124,124,124,3,11,12,20,-1.08826082610098,10,13,21,25,0.3929556311657748,7,15,17,19,0.9324750405122552,11,13,17,29,0.5999753709827584,23,27,31,37,0.3859560121391417,1,17,19,21,0.8207748438454219,1,32,38,39,0.183160138174196,8,14,26,28,-0.2069058701767798,8,9,11,16,-0.542647590304296,1,6,7,8,0.4271003596979894,20,11,8,9,-0.9891862972490071
125,125,125,125,2,8,17,20,0.2233262646758272,16,17,19,21,0.7215857498009,2,17,28,39,0.2504237441722399,7,9,10,11,0.4017119048340591,9,16,20,22,0.8489084426232174,1,14,17,24,0.8486331110563297,9,17,31,32,0.5496179613591107,8,11,14,20,-1.139189785975272,1,7,8,9,0.5125784238772912,5,7,9,17,0.9439119457682345,20,11,8,9,-0.9848868655550249
126,126,126,126,7,8,26,33,0.6469346410005967,5,7,12,14,0.9018528320614474,12,13,24,26,0.9778070872277784,1,8,14,28,-0.3656226597829979,1,22,28,29,0.7543489885486439,1,7,11,23,0.5445235157848376,7,8,9,13,0.6211981231629675,5,9,13,16,0.9826453638918448,9,11,24,34,0.6549733263333254,1,7,17,20,0.8576706930954048,20,11,8,9,-0.9863130986709603
127,127,127,127,1,5,13,14,0.9801503994450066,8,11,12,16,-0.8223969583201625,17,18,35,45,0.2277496884385679,5,8,17,18,0.4042912018206219,8,9,11,17,-0.5310512513597561,11,22,26,28,-0.0226128112473456,8,9,11,18,-0.5343011769901906,11,14,17,20,-0.0344277249361448,9,11,14,16,0.3716377824991606,8,9,10,16,0.4099309712348151,20,11,8,9,-0.9694136090734036
128,128,128,128,7,12,14,20,0.7972018993938899,1,8,11,13,-0.3864067540210134,24,32,33,40,0.4132610542752755,11,20,24,31,0.4185557885714587,8,23,25,30,-0.4628469211473047,8,9,16,17,0.3674714311598939,7,16,19,24,0.9917653390166838,5,9,11,17,0.5659158730741156,7,8,17,20,0.2147832333366052,1,17,24,25,0.7608980177229808,20,11,8,9,-0.9887025018373006
129,129,129,129,1,9,13,19,0.8456852648698201,5,7,9,21,0.7015028067791403,5,20,30,45,0.0654022544576046,1,6,8,9,0.5162700073483617,5,8,14,16,0.4254004605995684,1,20,29,37,0.5820992168670741,9,14,16,17,0.6584497692457735,17,23,30,31,0.8204389245042628,17,20,24,25,0.5629145904480867,9,11,14,19,0.5466940712488475,20,11,8,9,-0.9754942063040983
130,130,130,130,9,18,26,30,0.8435458636827718,2,7,9,31,0.9542767075734544,1,7,8,11,-0.5077370371664989,1,7,11,20,0.2038781355539177,6,9,10,11,0.4043101051108954,8,10,14,23,0.5978234763093455,5,8,17,20,0.223671526094628,8,9,16,25,0.0382350133154334,8,9,16,21,0.1344876804977925,5,11,16,19,0.6231483118160324,20,11,8,9,-0.9878055478540131
131,131,131,131,12,16,17,20,0.4527122344251548,5,8,16,34,0.5538220819318915,2,15,16,20,0.6794303531594023,8,16,31,38,0.5799200554603746,6,9,14,16,0.9456973217997896,3,5,7,9,0.4664573014010098,1,11,20,34,0.2515785115315646,7,16,17,29,0.9135636856125052,20,25,27,28,-1.4335596294608957,1,9,11,23,0.5562405834883042,20,11,8,9,-0.9921791836081186
132,132,132,132,4,5,6,10,0.4763299884764658,9,18,24,28,0.699548289670989,1,11,16,26,0.5628722273937511,1,17,27,33,0.6911557526293901,16,22,25,30,0.3483087976780565,5,7,8,9,0.4677726430029324,8,17,28,29,-0.2015007908277926,7,8,14,20,0.2369955297125949,8,9,11,14,-0.5248749220906159,8,9,11,17,-0.5376077054615389,20,11,8,9,-0.9760208809268296
133,133,133,133,1,4,5,14,0.5550711933165489,1,8,10,13,0.5710793048352125,1,11,15,26,0.5637535906109326,7,18,25,49,0.7507955094206574,1,10,16,20,0.8190848401760855,1,9,14,17,0.842942484115093,7,8,11,17,-0.5358047460011646,1,11,29,37,0.1960169201675199,1,9,10,14,0.7785584340341345,8,11,17,20,-1.1321821856862138,20,11,8,9,-0.9726196696081091
134,134,134,134,1,5,6,9,0.8070838946563978,10,14,16,17,0.6493371163568868,6,11,18,24,0.6243802770712156,3,8,9,17,-0.4901759708215896,1,9,16,23,0.9495827534673922,2,23,26,27,0.7999388870103756,8,9,16,21,0.1360347131263263,1,8,9,17,0.4869335816526974,1,5,7,8,0.4352764862046837,1,11,16,18,0.2566886112304541,20,11,8,9,-0.9857526239014556
135,135,135,135,1,13,22,30,0.8440839095110058,1,9,12,13,0.9149272371441542,13,17,27,39,0.2525441116277213,1,11,60,44,0.1524889385287815,14,17,24,26,0.896869819913776,8,17,29,32,-0.3717942942159256,1,8,9,11,-0.5046967880443696,7,8,9,16,0.5779564218690442,14,24,30,33,0.8978265015477099,1,8,16,20,0.1568629443082565,20,11,8,9,-0.9846285375572628
136,136,136,136,13,16,22,23,0.948809801249207,3,15,18,26,0.4436582001923793,6,11,40,42,-0.2470679083223272,5,15,17,18,0.6888745550143214,1,8,9,17,0.487987061417555,5,7,11,17,0.4789802136980196,1,9,11,16,0.48027288082064,1,16,20,23,0.8817595720556703,5,8,11,17,-0.5407960496271289,7,9,17,24,0.9718227698443588,20,11,8,9,-0.9840198233436726
