,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
99,99,99,2,5,8,20,0.3401923554156976,4,8,9,30,-1.060030188017508,1,6,19,21,0.8127308635179427,1,12,13,19,0.9496868463460124,19,24,26,31,0.968096137662972,16,17,18,19,0.6149487180366278,5,6,10,13,0.8687640670453392,17,21,27,30,-0.3490618350397134,5,6,26,32,0.4543557564596595,5,17,34,40,0.7720275994697765,5,10,21,17,0.84571145645732
100,100,100,7,17,24,34,0.9732796639498535,2,5,19,31,0.9827815209287664,6,10,21,33,0.7912748194720426,8,22,24,30,0.383139537843469,18,27,28,34,-0.1607545280261879,5,10,18,20,0.8874143283667397,13,16,27,32,-0.2275150618493933,5,10,16,19,0.946979257042284,17,18,20,21,0.3803516532744477,13,17,18,20,0.6621523990736025,5,10,21,17,0.8457338650044862
101,101,101,4,10,11,13,-0.3253662743651493,5,11,13,19,0.6994229999146083,14,20,34,46,0.8737729968156557,5,15,20,22,0.8977778812372254,8,10,18,21,0.1268094157672502,8,10,11,17,-0.5500599792081049,17,18,21,40,0.2315705414576261,10,18,23,27,0.6966297473329908,8,10,13,14,0.5545966341767823,10,13,16,17,0.8124727292309578,5,10,21,17,0.8484953757371203
102,102,102,2,13,20,28,0.5001211876020392,3,4,6,8,-2.053510306972344,8,13,16,20,0.2212402233964702,10,13,17,21,0.7977186310171697,4,6,7,8,-0.5495158196124115,7,8,18,30,0.1235967114693432,10,13,19,21,0.7894659639409765,5,10,21,27,0.2949313014961899,5,6,13,16,0.939408143393548,10,13,17,18,0.8020550112089309,5,10,21,17,0.8461502559058492
103,103,103,13,36,42,52,0.952390364329348,4,9,11,17,-0.5119054448231772,7,17,21,38,0.8216802757489645,20,22,24,32,0.4935927331982597,5,10,17,18,0.9368496553042476,7,8,21,32,-1.0327112259228222,6,7,10,25,0.6401030204411131,10,17,21,36,0.7659163075181015,5,35,37,46,0.5009394993971054,5,6,8,27,-0.3286448027080877,5,10,21,17,0.8485462256965216
104,104,104,1,6,8,13,0.6092742732809927,15,22,27,36,0.7027642430163452,13,18,19,21,0.8402199005790882,13,19,21,32,0.3763903520882633,4,21,32,45,-1.937826475461049,6,13,18,41,0.818456812451356,24,28,32,48,-1.4869086723968037,6,10,19,20,0.798190485199207,6,8,13,17,0.577322343165346,6,21,28,33,0.4024103189766593,5,10,21,17,0.846373245161291
105,105,105,3,16,21,26,0.2342695222258937,5,13,15,23,0.9794231564993584,27,31,34,46,0.7709791657049598,5,10,15,19,0.942244117271664,5,6,8,10,0.4704895575024911,7,8,10,19,0.5539887918764732,5,17,19,22,0.9938794711166488,6,8,13,19,0.7045128340593304,5,6,7,10,0.6515596310553746,5,14,17,19,0.9385382809819484,5,10,21,17,0.8497553176108759
106,106,106,6,16,20,41,0.6582946071284989,5,13,14,27,0.6971444274077596,6,14,16,17,0.6974264827174117,5,12,35,36,0.8665342703411161,8,17,19,30,0.212637433585453,10,18,27,33,0.6728677167648675,8,17,21,29,0.1933073570502393,10,13,18,19,0.8865655875447481,3,8,13,21,-0.9408969852267436,8,10,13,20,0.3139690983103622,5,10,21,17,0.8474362830511553
107,107,107,4,9,12,41,0.4038096961953189,8,16,18,22,0.296364615747765,1,5,13,17,0.9733155803423575,5,6,10,18,0.9451847076884315,7,8,19,21,0.2712601753649082,2,6,8,18,0.5795137451046632,5,21,22,40,0.4872564576804851,5,17,20,33,0.9249392764789892,7,27,39,42,-0.092992971080793,5,21,26,28,0.3255272147776613,5,10,21,17,0.8474788662472726
108,108,108,24,33,62,71,0.8084664932237449,8,12,13,15,0.3373900298556465,5,7,10,21,0.7020163481967048,8,9,10,11,-0.6037459678868267,4,6,16,17,0.429980505402008,6,7,10,16,0.9394604977476624,5,7,10,21,0.7020163481967048,8,10,13,16,0.555636744368139,10,13,16,17,0.8130776016643213,19,31,36,39,0.8275079323325722,5,10,21,17,0.8497173550367398
