,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
193,193,193,193,193,11,14,31,24,0.460090436291653,2,15,21,26,0.6632664601416179,10,12,14,26,0.8581994258732603,19,25,11,6,0.9228268106009412,5,6,7,12,0.8224561552094476,5,10,11,19,0.9764269114072672,6,12,13,31,0.9632378717235,2,5,6,9,0.8837731543500474,2,5,12,13,0.9412021174638744,2,3,5,10,0.7961607054049965,5,6,10,14,-0.1720219814053947
194,194,194,194,194,5,10,12,15,0.691251443776935,8,16,20,22,-1.540261760359991,2,4,7,11,0.7330804739242497,5,10,12,19,0.909813771335788,2,4,6,12,0.9920577319688392,5,13,29,3,-0.1203232362009236,2,4,5,6,0.9269795794329314,6,10,12,17,0.6766107773135066,4,5,6,10,0.9629836088969812,10,15,25,26,0.5093239539307788,5,6,10,14,-0.18546053925877448
195,195,195,195,195,4,14,23,25,0.6281014757326058,11,6,3,12,0.7369566777352609,2,11,12,19,0.94829773029067,1,2,4,7,0.1377240923028884,2,5,9,12,0.8573857258798989,4,5,6,9,0.8521483503621785,2,4,5,19,0.9601364879437688,5,6,9,13,0.8764578650063402,6,11,13,14,0.9687151440690054,4,5,6,10,0.9619338838756992,5,6,10,14,-0.1670342955433637
196,196,196,196,196,21,29,20,25,-0.1639812378804952,1,4,6,12,0.6742072240930777,5,21,29,15,-0.1607127553536147,4,5,6,10,0.9624121802733532,6,19,21,28,0.8687071301474114,4,12,10,13,0.9473897621999534,2,6,10,12,0.9400089017692496,2,4,5,10,0.937840053691584,2,5,14,23,0.6816888119145995,2,14,15,19,0.7131247934889321,5,6,10,14,-0.1811935381613463
197,197,197,197,197,25,28,26,9,0.3520413678239557,6,8,21,23,-0.0773704775983858,8,12,13,18,-0.4302734429053156,1,6,12,13,0.6226836705725913,6,10,12,13,0.8393321561125463,4,10,11,13,0.9799028706938177,11,12,14,19,0.9499321145190094,4,6,11,12,0.9928136167446988,4,11,17,21,0.6669892162767773,2,5,11,12,0.9754072817116136,5,6,10,14,-0.16438582781581101
198,198,198,198,198,10,12,16,8,-0.2823787227013641,2,10,23,28,0.4217496191820381,2,3,4,11,0.6486742307569836,4,6,21,25,0.9743341919101745,4,5,6,12,0.9931932786502352,19,22,25,12,0.7029014230102077,2,4,5,6,0.927668802563291,2,13,14,12,0.9450062565494882,12,13,21,22,0.7814631835289666,6,10,11,12,0.9349314446929348,5,6,10,14,-0.16403038890549215
199,199,199,199,199,6,8,9,10,0.4022923942559238,7,21,23,25,0.1602962968869714,1,12,14,23,-0.3097879134653842,10,11,12,14,0.9639921601633724,2,11,12,14,0.9578370146164408,5,19,22,30,0.8788467311035141,2,5,10,11,0.9610754979916134,5,12,13,18,0.5910238862578107,2,5,11,12,0.9760162406545148,11,12,14,22,0.9642871953432394,5,6,10,14,-0.18341317799805568
200,200,200,200,200,14,20,22,2,0.7956424805056013,4,11,13,16,0.65757772141289,2,4,6,9,0.8500966107340602,7,12,14,22,0.7709799359237108,2,10,12,13,0.8948970395237292,10,14,17,26,0.6833108267474255,2,11,21,22,0.9751232511082356,2,6,11,20,0.8233211185008149,2,6,10,11,0.9568508120096012,4,5,12,19,0.978119148672622,5,6,10,14,-0.1673512196660507
201,201,201,201,201,9,10,11,19,0.8906526318327903,2,3,6,10,0.8092148127261117,12,15,29,24,-2.218456874819962,2,6,26,11,0.9747289649518884,2,5,6,7,0.8409562812624208,5,12,14,21,0.951537881490364,3,30,13,2,0.6355703062223994,10,13,19,22,0.879328680600648,2,6,10,12,0.9408064173330244,2,5,6,10,0.9621866027491608,5,6,10,14,-0.18360635703217354
202,202,202,202,202,3,8,11,15,-1.752997645938962,4,21,13,1,0.6732940138114155,4,16,19,25,0.6158932174729366,2,4,19,22,0.983373650923694,6,10,12,14,0.953362223421084,5,11,22,23,0.7803771716724084,4,5,8,12,0.6315218755013761,5,6,10,14,0.956750797359512,10,19,21,2,0.9487568517312576,6,10,11,13,0.9502783566753404,5,6,10,14,-0.18717037143510917
