,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r,none-a0,none-a1,none-a2,none-a3,none-r,baseline-a0,baseline-a1,baseline-a2,baseline-a3,baseline-r
10,10,10,10,10,10,9,10,18,20,0.7239706681989175,25,30,60,61,-0.3186556872955464,6,10,14,15,0.9474156729898214,9,13,19,20,0.8258496351534295,2,7,15,19,0.9937315357367188,14,29,31,36,0.9705163454362632,1,5,19,20,0.8634222732297527,1,2,6,7,0.87556462447382,1,2,5,19,0.9605719788174708,2,17,19,22,0.919974121597581,2,7,1,22,0.9781994509280764,112,117,120,122,0.9182453607598576,112,117,120,122,0.9182453607598576
11,11,11,11,11,11,19,32,45,56,0.3034501573658767,9,12,14,16,0.6668064286414184,18,31,42,44,0.4031043991221338,1,7,18,31,0.9557607826083978,5,10,13,14,0.982706123704122,12,16,17,19,0.6409312019918374,5,7,22,23,0.8225835247004875,1,2,9,13,0.9133052358942708,1,5,7,14,0.9173436321783,2,6,7,19,0.8823349504036111,2,7,1,22,0.9783721954485328,112,117,120,122,0.9250947547877736,112,117,120,122,0.9250947547877735
12,12,12,12,12,12,8,15,19,31,0.5856348527692596,9,13,17,23,0.956323777630354,6,7,9,17,0.9422392634490468,5,6,17,20,0.8278637714541195,5,46,58,63,0.8186914094678326,2,7,17,18,0.8608190683915536,2,5,18,21,0.8442389624556416,17,18,19,24,0.8584988021828137,1,7,19,24,0.9276386362109484,2,5,13,30,0.8801476188607413,2,7,1,22,0.9784543861209328,112,117,120,122,0.9239764726901626,112,117,120,122,0.9239764726901626
13,13,13,13,13,13,3,11,14,15,-0.815193181481694,32,53,57,58,0.3534206311736516,1,6,8,17,0.5206409890661623,2,5,12,13,0.9643525097198072,1,2,6,7,0.8762677850147428,2,21,23,31,0.8738195977270131,1,2,10,12,0.9151366083051696,1,7,19,26,0.8956587579006424,1,2,5,7,0.8792643643186825,2,6,7,12,0.9369968447186392,2,7,1,22,0.9784450661134962,112,117,120,122,0.9242801873028086,112,117,120,122,0.9242801873028086
14,14,14,14,14,14,10,25,27,28,-0.759048249087078,1,2,4,13,0.668257823840573,12,34,44,46,0.7968959513313973,5,6,13,15,0.9398971157831874,6,12,13,14,0.8795709774648484,2,6,9,10,0.7878680501487868,2,5,7,27,0.6395834072078856,1,2,5,14,0.975679683017564,2,7,13,24,0.9775840832266433,12,14,18,20,0.4538677450698223,2,7,1,22,0.9788153250282629,112,117,120,122,0.9245661521399196,112,117,120,122,0.9245661521399196
15,15,15,15,15,15,2,8,10,14,0.5608469737528704,6,30,31,32,0.2670545632003034,1,2,7,17,0.9749063918456978,5,7,10,13,0.860965783999317,6,10,12,13,0.9820268043729692,2,7,19,22,0.9745977703314354,5,7,17,19,0.9429493048417316,1,5,6,7,0.648320807739597,2,13,36,57,0.879282622548248,2,6,7,12,0.939008609348409,2,7,1,22,0.9780587510421518,112,117,120,122,0.9194521381583864,112,117,120,122,0.9194521381583864
16,16,16,16,16,16,3,15,16,22,0.3438070859800466,8,9,21,28,-0.8324847051463156,2,9,12,14,0.8238652733857513,1,2,5,6,0.8822235936615678,5,6,10,12,0.9450586226513162,1,5,17,20,0.8621282407008186,1,2,5,7,0.879162061130332,1,12,18,31,0.7454088654624483,1,5,6,7,0.6502575259435938,2,7,9,12,0.9838215619297104,2,7,1,22,0.978429616871526,112,117,120,122,0.924472855676974,112,117,120,122,0.9244728556769741
17,17,17,17,17,17,8,21,24,29,0.3904849218796546,1,2,5,16,0.9749490632060476,1,6,7,14,0.9150403602963356,6,14,17,23,0.915310958595753,13,15,21,26,0.8522947258843693,7,10,15,21,0.8492819728842851,1,2,10,13,0.911570283323625,2,9,13,14,0.8989023978946524,5,6,16,22,0.9401315433191668,1,7,9,12,0.9672106155076804,2,7,1,22,0.978609959162078,112,117,120,122,0.9249850526421518,112,117,120,122,0.9249850526421518
18,18,18,18,18,18,11,16,22,36,0.5948797164043712,2,5,7,12,0.9392034363504292,10,12,13,23,0.9566246632290472,5,6,7,15,0.7859080683879149,2,5,10,13,0.9481286449340444,13,23,24,44,0.8989425066229937,1,2,6,15,0.974040787241623,2,6,15,31,0.9423025785799168,1,2,6,9,0.9225948105804368,1,2,6,15,0.974040787241623,2,7,1,22,0.978562710032106,112,117,120,122,0.9247139459179222,112,117,120,122,0.9247139459179222
19,19,19,19,19,19,5,6,10,15,0.9441327717680192,14,16,22,27,0.4646138834162573,1,5,7,17,0.9187606126802216,6,15,20,26,0.8914712494469633,2,6,19,43,0.9169052381692668,1,14,15,18,0.5802087129290697,1,2,6,7,0.8755440960610197,1,2,22,29,0.9863741538828816,1,2,5,7,0.8785186134175785,2,5,13,14,0.9655709690652448,2,7,1,22,0.9782092643667976,112,117,120,122,0.9192412726896294,112,117,120,122,0.9192412726896294
20,20,20,20,20,20,8,13,15,29,0.6324045570300276,6,7,10,13,0.8590686754085173,5,6,12,20,0.8371293252456529,5,9,10,18,0.8665594047918,7,10,16,19,0.9428439982916196,2,13,18,21,0.785178412797121,18,22,29,30,0.8558576745331778,1,5,6,7,0.6501261541816714,2,13,17,19,0.9190785267662728,6,10,12,16,0.951388958736206,2,7,1,22,0.9783541573715688,112,117,120,122,0.9187130959835051,112,117,120,122,0.9187130959835051
21,21,21,21,21,21,5,18,20,26,0.890173483305462,2,6,9,15,0.9823793960340644,7,20,43,50,0.6228932377788404,1,2,4,6,0.6286234037566494,2,6,9,14,0.98275742977438,1,6,7,12,0.917521709144358,7,9,12,13,0.9826906551713604,1,5,13,16,0.9779345402073314,6,13,14,26,0.9782390592982932,5,6,19,22,0.8843735315958257,2,7,1,22,0.9780193253696744,112,117,120,122,0.9198383469185488,112,117,120,122,0.9198383469185489
22,22,22,22,22,22,10,17,19,24,0.8781983817445028,1,5,6,15,0.9217636820311448,2,6,14,18,0.8740184201430232,10,14,24,26,0.9481912861152106,6,12,13,19,0.995658828987054,5,13,18,22,0.96266893793287,1,7,20,22,0.8814128360499187,2,8,12,23,0.6406298253207412,2,5,13,21,0.8816540248965383,1,5,13,19,0.9611008044257794,2,7,1,22,0.9781213051188252,112,117,120,122,0.9198969310517356,112,117,120,122,0.9198969310517355
23,23,23,23,23,23,8,19,22,36,0.7021870265324298,13,26,29,30,0.8843712817867563,13,14,26,41,0.8369893230063636,9,13,23,24,0.9092422573707668,5,6,7,22,0.7152569289676086,6,16,20,26,0.8860382114205992,1,13,18,26,0.9664967348606158,6,7,13,29,0.8186937840497696,5,7,22,26,0.82191521584621,5,6,7,9,0.6578692934231137,2,7,1,22,0.9782543646119926,112,117,120,122,0.9262765441208912,112,117,120,122,0.9262765441208911
24,24,24,24,24,24,4,7,17,24,0.645528084777808,5,7,9,10,0.6922088361400389,2,7,15,17,0.863638020363288,5,9,14,15,0.9443227612636842,2,5,9,12,0.984355236541944,1,19,22,24,0.9607430681030752,2,5,7,13,0.9102243000879248,1,5,13,18,0.971311812269254,2,5,7,9,0.8683921448964523,1,2,7,13,0.9779219725385244,2,7,1,22,0.9783770332910788,112,117,120,122,0.926950638042264,112,117,120,122,0.9269506380422639
25,25,25,25,25,25,3,9,15,20,0.2290213787710087,10,11,13,30,0.2349407313818547,2,8,14,25,0.0385757866889295,2,14,16,21,0.6262503364015799,2,14,15,17,0.4982163766124519,1,16,18,20,0.6827267585751821,15,21,23,26,0.8697952904278567,7,12,19,22,0.994220244645625,1,9,24,33,0.8499786624468039,1,6,7,9,0.8069400864959358,2,7,1,22,0.9786928324015822,112,117,120,122,0.9270780858718112,112,117,120,122,0.9270780858718113
26,26,26,26,26,26,3,15,31,36,0.5912484745678237,1,7,9,10,0.7304862010269932,2,5,12,24,0.9875728066560632,1,19,22,29,0.97130515254006,1,13,14,15,0.7812162434729001,2,5,6,7,0.7169322301999004,7,16,22,35,0.8352301949520567,7,12,14,22,0.8787461510224107,5,6,10,13,0.8700210700113544,7,13,14,22,0.9611705785364358,2,7,1,22,0.978584910175698,112,117,120,122,0.9262632708546206,112,117,120,122,0.9262632708546206
27,27,27,27,27,27,8,10,14,22,0.5505559621635387,7,9,32,33,0.612262693387166,5,10,26,27,0.6468963613652605,2,15,20,58,0.8968848269271736,7,28,30,57,0.3530767214953154,1,15,17,26,0.8697734471794185,2,7,22,28,0.7678459999606545,2,5,6,7,0.7171565383098397,1,2,7,18,0.9697888153355828,5,19,22,24,0.9561964468934756,2,7,1,22,0.9785748436211664,112,117,120,122,0.92694870198013,112,117,120,122,0.92694870198013
28,28,28,28,28,28,9,14,15,21,0.7082609292798476,5,10,34,38,0.916439776876969,1,7,12,20,0.8660780613600816,2,4,9,12,0.5804377008143407,2,6,7,9,0.8605156973759674,7,19,23,26,0.8382738572316728,5,6,9,25,0.6501807127253837,1,14,26,29,0.983942136491576,2,6,9,12,0.9829959805040142,2,7,13,24,0.9766452579458944,2,7,1,22,0.9779832588633084,112,117,120,122,0.9215292709415612,112,117,120,122,0.9215292709415612
