,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r
22,6,7,0.7909179081796154,11,8,0.733908482852917,10,11,0.5392951493882658,7,11,0.8590466231341319,4,5,0.6494562019245129,5,6,0.6287910407036564,7,8,0.7285796495627601
23,1,6,0.5672403996547266,7,9,0.8094675523245435,10,5,0.4290000389132944,5,7,0.8994766648981972,3,5,0.5182177910592284,6,10,0.5759584663117456,6,11,0.5195412930143083
24,5,8,0.9105601481846759,2,5,0.6088388639612982,1,4,0.7961874539520128,9,10,0.7625124135362178,5,10,0.8427774389560072,6,7,0.7062145463703234,5,9,0.8404875997072444
25,4,8,0.8849527611429693,8,4,0.8915220656816963,9,2,0.663912993986462,6,7,0.6590280440759196,10,7,0.7734952860586111,11,5,0.8806286065850917,8,12,0.8633692218769544
26,6,9,0.529091230903793,9,2,0.40842147555827335,6,5,0.8760314223014192,6,12,0.8331115046542454,4,6,0.4339760526877512,4,10,0.7868004340515575,4,3,0.683528344575679
27,1,6,0.635240619734637,2,6,0.3539361892345697,2,8,0.8490579931932756,10,11,0.7495238079496118,1,9,0.5064666411187875,6,7,0.5216653331281298,10,5,0.6796854513225937
28,3,11,0.8351110277081403,3,6,0.7404072226347231,9,11,0.9107702551493833,7,9,0.852502250964307,4,10,0.7080701777078153,7,10,0.7271663745936885,6,7,0.5444518622265346
29,5,9,0.9510982136317244,13,7,0.7454763927827482,5,1,0.7555977119720549,6,10,0.5347867997485518,6,9,0.40717378294027273,6,12,0.7777906509673096,5,8,0.9350151440455208
30,6,7,0.45982984906350044,2,5,0.6437523144586976,6,10,0.6940066864210949,6,8,0.850179006048069,7,8,0.8551772812951957,13,6,0.4729608102507822,8,9,0.9203061944715779
31,11,1,0.45323889573473397,8,11,0.6941765176457566,5,12,0.35051652729852,4,6,0.7099872532287157,4,5,0.8048597348862565,5,6,0.27287124950864683,4,10,0.6816531915856381
