,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,h-a0,h-a1,h-r,i-a0,i-a1,i-r,j-a0,j-a1,j-r,k-a0,k-a1,k-r,l-a0,l-a1,l-r,m-a0,m-a1,m-r,n-a0,n-a1,n-r,o-a0,o-a1,o-r,p-a0,p-a1,p-r,q-a0,q-a1,q-r,r-a0,r-a1,r-r,s-a0,s-a1,s-r,t-a0,t-a1,t-r,u-a0,u-a1,u-r,v-a0,v-a1,v-r,w-a0,w-a1,w-r,x-a0,x-a1,x-r,y-a0,y-a1,y-r
10,2,10,0.9300695324275012,10,3,0.9490454460289959,10,3,0.9260996440428173,10,9,0.9415680130758387,9,10,0.9022871597136572,10,9,0.8854065173455522,3,10,0.9708976830630875,3,10,0.973686205079173,3,10,0.8738518027913049,3,10,0.9521761055744243,8,11,0.7237391680532288,8,12,0.8395779829515747,8,13,0.8618815135090863,8,10,0.8506253699764681,8,13,0.7077684187301121,8,12,0.8889346387760225,8,12,0.9029977165730185,8,12,0.8666757261360524,8,7,0.8136841597896962,8,12,0.8607618328857558,2,9,0.7568414635160703,9,10,0.8695936599420255,9,10,0.9172061891498035,8,2,0.8116957064740445,10,8,0.8263590393562265
11,2,10,0.8811439931012425,10,3,0.8620667592097169,10,3,0.7586776105847859,10,9,0.8846229062693367,9,10,0.9138467086642068,10,9,0.8671235370311566,3,10,0.9685217559867041,3,10,0.9724778146721569,3,10,0.9703168330543702,3,10,0.9293666399792121,8,11,0.8357427464873293,8,12,0.9261717842674277,8,13,0.722434853876763,8,10,0.8607154951060455,8,13,0.8877263898798945,8,12,0.9118622351153965,8,12,0.9361150892102871,8,12,0.7274601935854721,8,7,0.898232509621155,8,12,0.9439274022418693,2,9,0.9255666005735652,9,10,0.8747979616614407,9,10,0.9312967691733923,8,2,0.9414401170496898,10,8,0.8201920436585991
12,2,10,0.9665304760747778,10,3,0.8441095146447739,10,3,0.8622818922547336,10,9,0.918236552517631,9,10,0.9443436409481207,10,9,0.8170422382028816,3,10,0.9657984670363281,3,10,0.9625654313953701,3,10,0.9493609620453151,3,10,0.8166441839568042,8,11,0.8084432306667266,8,12,0.8422306804103044,8,13,0.6586537334558886,8,10,0.8410092751955075,8,13,0.7141314188947658,8,12,0.819046187343496,8,12,0.9138671469940559,8,12,0.8060355644093411,8,7,0.9019441582178725,8,12,0.9346104955417832,2,9,0.84286986444237,9,10,0.9390815687943591,9,10,0.7810265239249488,8,2,0.9269102786223684,10,8,0.9140135807028171
13,2,10,0.8711519108894307,10,3,0.9421094660134012,10,3,0.7850762839740939,10,9,0.7910043999591833,9,10,0.7533387606463364,10,9,0.8848182011816701,3,10,0.9048072625709467,3,10,0.9364155471593043,3,10,0.8624613118740634,3,10,0.9325927075784037,8,11,0.8032511613192803,8,12,0.9274991001591738,8,13,0.8302773011351755,8,10,0.9435963574734644,8,13,0.8471455438583049,8,12,0.8055175768059921,8,12,0.9630386186903013,8,12,0.8557271923837548,8,7,0.8816513321167673,8,12,0.9446860359165035,2,9,0.9360617302498332,9,10,0.8936769674220431,9,10,0.9131195596052132,8,2,0.9182717531576419,10,8,0.9004475858197076
14,2,10,0.9633360472068374,10,3,0.8525819024000985,10,3,0.9153085368915144,10,9,0.8678435014823926,9,10,0.9241579962407418,10,9,0.9050111132777107,3,10,0.8715370437301659,3,10,0.941801500917326,3,10,0.9060703966411345,3,10,0.9677442677398768,8,11,0.8126108342294011,8,12,0.9323277064969369,8,13,0.8656334712612761,8,10,0.9133963075471268,8,13,0.8419371992869904,8,12,0.8683485405590186,8,12,0.8886276268314952,8,12,0.9025540248911758,8,7,0.9486200239245669,8,12,0.8249154679791744,2,9,0.9173154082026425,9,10,0.9489680731700867,9,10,0.8361609109772441,8,2,0.8370834044426917,10,8,0.9584623828671863
15,2,10,0.9410356130006681,10,3,0.8871712252083656,10,3,0.850006401410131,10,9,0.8176594197214473,9,10,0.939316166672744,10,9,0.8205401428650126,3,10,0.9592425539560201,3,10,0.9183216143573983,3,10,0.9138644521746333,3,10,0.931228402634835,8,11,0.8495032792177719,8,12,0.8544332304948092,8,13,0.84688244797036,8,10,0.8957998052316924,8,13,0.8571823281785428,8,12,0.9207621499115252,8,12,0.9555569683801269,8,12,0.8915936841080356,8,7,0.8630202706618004,8,12,0.9673786017459078,2,9,0.938086482104207,9,10,0.9162316478238004,9,10,0.9143982140060263,8,2,0.9419642984556224,10,8,0.8812254254351637
16,2,10,0.9051338096438027,10,3,0.9811143209427793,10,3,0.8328172686804254,10,9,0.9198452725923454,9,10,0.8789468996100317,10,9,0.8382603460525531,3,10,0.8426183094407987,3,10,0.9450142897768536,3,10,0.9459693873197175,3,10,0.8336091148012321,8,11,0.8837292714365101,8,12,0.8673550156713782,8,13,0.7420302356642625,8,10,0.9007295333304298,8,13,0.8348809624698527,8,12,0.9392899385908601,8,12,0.870298152249886,8,12,0.9375933476100287,8,7,0.9621312469343615,8,12,0.8997670647453608,2,9,0.8572193368299843,9,10,0.888086337121309,9,10,0.909820547724844,8,2,0.8563190214648183,10,8,0.9038961894830835
17,2,10,0.9200943517245703,10,3,0.8964427528596759,10,3,0.9139927922870523,10,9,0.8920039693143338,9,10,0.9339405597183138,10,9,0.8613370671981055,3,10,0.8936631601345095,3,10,0.9078071498851285,3,10,0.8215824914397021,3,10,0.9427253578804422,8,11,0.8618428212063871,8,12,0.9526016985465692,8,13,0.6521674381160554,8,10,0.9145583006719473,8,13,0.8205448152625441,8,12,0.9255956356470888,8,12,0.857169920320284,8,12,0.8349884126812881,8,7,0.8526624234680089,8,12,0.8283862557549162,2,9,0.9144069257932109,9,10,0.9196213806232705,9,10,0.9124762092712166,8,2,0.9253516171484429,10,8,0.8601639906636431
18,2,10,0.9221368788916586,10,3,0.9023442505999657,10,3,0.9388504102274551,10,9,0.9588216908216202,9,10,0.9001205151875185,10,9,0.8538663787627667,3,10,0.9588980881301973,3,10,0.9558699894924462,3,10,0.921621665087294,3,10,0.9590066147533615,8,11,0.8893063519174828,8,12,0.8481245341654406,8,13,0.7638023579512945,8,10,0.8724178563505975,8,13,0.9104637126713286,8,12,0.9160246569539396,8,12,0.8236489146259764,8,12,0.9268079197880784,8,7,0.8043681269983882,8,12,0.8892452141277434,2,9,0.7511423274798206,9,10,0.8521207925882016,9,10,0.7801235910953173,8,2,0.8927377917355724,10,8,0.9040599156546085
19,2,10,0.9360302670523939,10,3,0.8645803123305188,10,3,0.871494011096811,10,9,0.907748069192522,9,10,0.9468492818226517,10,9,0.8198440893366657,3,10,0.762388674567849,3,10,0.8764458593465937,3,10,0.948820785816746,3,10,0.879085251635209,8,11,0.7889603689795653,8,12,0.878693372169704,8,13,0.738636890452571,8,10,0.7956959730665398,8,13,0.8110193550078678,8,12,0.9182762331281544,8,12,0.7425781669968199,8,12,0.8777437360025723,8,7,0.9201007112878216,8,12,0.9021252078807654,2,9,0.9690883005205416,9,10,0.7997145721175628,9,10,0.8820773865367159,8,2,0.9636270913796122,10,8,0.9297710585045716
