,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,top-a0,top-a1,top-r,baseline-a0,baseline-a1,baseline-r
10,10,10,5,6,0.8679114829051346,7,8,0.7089316190489657,3,6,0.6011957439589396,1,13,0.3436922068196198,1,4,0.6867280453762905,1,6,0.4383401648833656,6,2,0.4214207294030445,6,10,0.5839239847054802,2,8,0.8051457458155991
11,11,11,9,13,0.7412277841691813,2,9,0.870949129111521,4,12,0.8267753762594159,13,8,0.6977376711915332,13,5,0.7678503224713054,9,6,0.8347241083494512,10,4,0.9163309296526204,6,10,0.565593646122373,2,8,0.7546231657756636
12,12,12,11,10,0.7697890619318681,8,7,0.9301819809121536,1,12,0.5937999255988303,13,3,0.4672525481116926,1,11,0.7815884432585406,4,10,0.6234165675046708,2,10,0.4982091344498159,6,10,0.23918621280045627,2,8,0.8193373532439003
13,13,13,4,6,0.8193044241352249,2,10,0.4065473827961761,1,13,0.2253354316916338,1,6,0.1787253038456218,10,8,0.5182063080226996,7,10,0.7898339794442433,1,10,0.7085957859505523,6,10,0.18947708281045383,2,8,0.7025249125797977
14,14,14,3,9,0.7390403399517308,1,6,0.2283908826205517,2,5,0.8487306935595319,9,12,0.9258309018077936,6,7,0.5914509040514486,4,5,0.9504081870409672,10,11,0.8047051498637645,6,10,0.2924555752250779,2,8,0.6960821898387299
15,15,15,10,13,0.7246469475235114,4,6,0.8218398227169657,2,6,0.4328449729660875,11,4,0.8946529979353026,6,8,0.767427627030021,6,13,0.5577954957501768,6,7,0.6470317189200463,6,10,0.6243271955719052,2,8,0.6279389468175058
16,16,16,5,12,0.8962601262978735,5,11,0.933066860581912,3,5,0.7454312719222529,3,5,0.8061687312397066,5,6,0.3959775381943412,4,5,0.7522368450469512,4,10,0.7602824303636778,6,10,0.3801113491181294,2,8,0.6674299699314096
17,17,17,9,3,0.8109160149050507,1,10,0.3004749622374404,2,8,0.6877159456970297,1,6,0.5794200507032121,5,7,0.8959761457289406,6,9,0.822238003870916,6,11,0.6063172350692205,6,10,0.5533462087676196,2,8,0.6241053625322526
18,18,18,3,4,0.7776650649559412,9,4,0.6726564048810926,11,6,0.7948662768675453,6,7,0.5195661177177735,7,12,0.7579847540553213,11,6,0.7045642486732686,6,1,0.0768854402364995,6,10,0.45825938839757363,2,8,0.7477762403101247
19,19,19,2,1,0.4792559143482193,8,10,0.8121895763757415,1,4,0.7154724292317025,4,10,0.6616352544671513,8,11,0.7364263204103066,4,9,0.9336985343787236,3,9,0.5667038606106514,6,10,0.3627503074898073,2,8,0.6307669498827929
20,20,20,6,13,0.405590271989894,10,7,0.6834218420110507,3,6,0.5272694545841845,1,5,0.5833855522014644,11,6,0.7701041294229795,12,11,0.8761976149438339,1,4,0.7698016889686103,6,10,0.13822039043298395,2,8,0.727898817029232
21,21,21,1,4,0.4589708195938012,4,9,0.9362124573367896,9,12,0.8874835832498562,6,9,0.7329876758914885,10,7,0.4722774125719874,4,8,0.8100096791132254,3,5,0.823285724370295,6,10,0.26050574470984766,2,8,0.8087195558322524
22,22,22,9,1,0.5503178661628658,9,11,0.9432846532770592,4,6,0.575311315334651,8,5,0.8855432358052879,1,2,0.3340782574093157,1,2,0.484151018224467,6,9,0.7771397053294995,6,10,0.22106367960169693,2,8,0.7245911093384771
23,23,23,2,3,0.5918421155686928,3,6,0.5122687370226717,4,11,0.9325324805320628,12,6,0.5939812373178974,6,11,0.5321640940033266,1,5,0.5673773469469585,4,7,0.7363764906225518,6,10,0.3919394472354597,2,8,0.7160694505871482
24,24,24,7,9,0.8347015900026287,9,10,0.5009118645401127,2,4,0.6065625234581594,1,4,0.7415544742089661,2,4,0.6743444929752977,2,6,0.613854692739331,2,11,0.6887373127319746,6,10,0.656746371189197,2,8,0.6245982506959553
25,25,25,3,8,0.8955950853272091,6,7,0.7211391592750187,3,6,0.5835840732635582,2,11,0.7549477720637786,5,11,0.8929636928875717,6,10,0.5478929007944648,1,2,0.2694481842354165,6,10,0.6186696354927395,2,8,0.5692852761929601
26,26,26,1,4,0.6165577773177229,2,4,0.6745544944386678,5,12,0.8779519588781264,1,6,0.6768955982423459,1,3,0.6692260168138289,8,10,0.6563398107130367,4,5,0.9206362756731974,6,10,0.7769853593798419,2,8,0.8006815882392633
27,27,27,1,4,0.8579404374604092,6,7,0.7969698397751954,4,6,0.585563728297406,1,4,0.6816295564047299,3,8,0.7676539374488647,2,6,0.5883413489870837,1,6,0.3880834948793961,6,10,0.710933525339128,2,8,0.7030841811922925
28,28,28,8,9,0.951320820107579,3,5,0.8195016056556074,6,8,0.7075079177563363,9,10,0.8088180532699787,1,6,0.5244774570813907,8,10,0.5770974662952957,1,9,0.6940176639140684,6,10,0.3461822348939777,2,8,0.8670555201663387
29,29,29,9,12,0.944079141057736,1,3,0.5909940362519646,10,8,0.8405272232950702,1,9,0.7788983548345507,3,12,0.6016330419029179,1,8,0.7822470201319606,3,7,0.8664844806969398,6,10,0.46712741643691846,2,8,0.6570635435557958
