,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,top-a0,top-a1,top-r,h-a0,h-a1,h-r,i-a0,i-a1,i-r,j-a0,j-a1,j-r,k-a0,k-a1,k-r,l-a0,l-a1,l-r,m-a0,m-a1,m-r,n-a0,n-a1,n-r
157,157,157,157,157,1,2,-0.3348062831849763,1,10,0.6678100355637386,12,3,0.5999769931326412,5,11,0.20640481146824718,5,9,0.47258275728326704,3,12,0.8247916280503211,6,8,0.7081395032721675,6,10,-0.1245593929790758,6,7,0.5909842716635484,4,8,-0.24398342554769403,2,6,0.5486867907773614,2,5,0.3942700253370212,13,9,0.1589982957989482,3,6,0.2807437360269363,2,13,0.2448339435930957
158,158,158,158,158,4,6,0.3928250746634191,12,3,0.799357137636229,5,10,0.17673061831075665,3,4,0.1417254400443233,2,12,0.5514619801891465,9,10,0.06607945436707574,6,11,0.05458844746656055,6,10,0.3625828990119115,8,10,0.6749340134210905,7,1,0.12178133646437506,5,1,-0.42821495585124114,7,9,0.5255413063636514,5,11,0.1876489788818477,3,5,-0.6418219966876999,3,13,0.1566078297257012
159,159,159,159,159,1,8,0.5230649312833666,1,8,0.4637028310871074,8,13,0.7876644015573062,6,13,0.21617206638808328,5,10,0.6112304956498565,8,10,0.909406996698165,3,7,0.7639917561326703,6,10,0.2516014061697373,6,9,0.6677588345557941,4,8,0.5513995546045256,5,9,0.5160241963460553,2,11,0.6342008038762852,1,10,0.3371280819162671,4,9,0.7696466239502989,7,12,0.7622854890799737
160,160,160,160,160,13,6,0.16414459647375557,1,5,0.6267313956852095,1,6,0.22046998316499433,12,10,0.8560683964202902,13,12,0.7856757646219819,1,5,0.4277468866646318,3,4,0.6596853095927392,6,10,0.755029792030773,3,4,0.7356235181061197,8,4,0.8586354933948035,3,9,0.8897160660323241,6,3,0.538239906498719,4,5,0.8374116464962864,7,1,0.5056170752971546,3,5,0.638673749712275
161,161,161,161,161,3,5,0.7447701007836147,9,12,0.8439681516324447,6,7,0.7530486175788796,1,12,0.571206413665386,4,10,0.8218083838329872,2,13,0.6276625362339153,3,10,0.8842649078978726,6,10,0.6269908745547651,3,12,0.7498681475016544,3,5,0.6942743677891517,6,10,0.37574777621569144,5,10,0.5623392953708947,5,1,0.7363866391886233,5,6,0.8370427450430364,9,3,0.8713919343813694
162,162,162,162,162,3,5,0.8115716289630455,3,7,0.6882529927883376,5,7,0.7284758960526505,4,7,0.8069087975787201,4,5,0.5144406924633685,3,6,0.39670765217350923,4,11,0.6674401889600209,6,10,0.2147275598431515,6,1,0.3179210396954162,1,4,0.1307351763515815,2,12,0.8568537672103176,10,6,0.4347401624239325,1,9,0.6383861083860631,1,8,0.4151063702919466,2,4,0.538717153277379
163,163,163,163,163,2,11,0.5739839943943043,1,2,0.6246847794779026,5,7,0.7390618953875534,9,12,0.8584258536899183,3,12,0.9026158391911646,11,9,0.7306566737231961,2,12,0.7521221659349967,6,10,0.4172022999370004,6,7,0.46911073150250315,5,9,0.7214930235404275,3,5,0.5996073950926815,10,7,0.753471378528265,10,4,0.6179137917325397,1,10,0.2586283529075428,1,3,0.5310308403158274
164,164,164,164,164,8,4,0.7136713007867104,11,13,0.4418199369441068,3,6,0.491937194327428,13,8,0.7676466348548543,2,3,0.7932092400294841,2,12,0.7253402806564042,11,13,0.6925184900803159,6,10,0.3563556385140665,9,12,0.9048549605854539,1,6,0.3928801724826797,11,1,0.5452297959889852,12,13,0.7068995440323298,4,11,0.6975809579890312,3,4,0.7259542827057434,7,10,0.6959509814548096
165,165,165,165,165,5,8,0.586461907392877,10,11,0.6618974678856856,1,7,0.7034137201255896,3,5,0.6915446885566372,2,4,0.5673112655097283,5,6,0.5844414750002531,6,9,0.6557377425936823,6,10,0.4571320324919762,5,8,0.7032246880739835,6,4,0.5676204128228595,7,11,0.606071742177942,10,11,0.7202723445077476,1,9,0.5853824209101787,6,3,0.6510503863333471,9,13,0.725539156229556
166,166,166,166,166,6,12,0.7595962084059965,9,1,0.7965166011739595,5,8,0.8749228672247363,8,9,0.8962530326642936,6,1,0.5703341047203933,9,12,0.9308055428086477,10,12,0.8407551413392185,6,10,0.398920827710636,7,8,0.8834125197973095,9,3,0.9007132654852852,5,8,0.7383424925077604,3,13,0.4860734339987725,4,13,0.9164301078032708,5,6,0.7539467854553994,2,8,0.6696234822285503
167,167,167,167,167,6,9,0.5854566300496342,11,6,0.3864909657550134,10,3,0.7740303115608229,9,5,0.8014411767136866,2,8,0.8690666464548849,5,11,0.5416948523688903,4,1,0.4243031803183568,6,10,0.4973778893914793,1,10,0.573994533666009,3,13,0.825458283379691,12,11,0.6974892148007968,10,12,0.4174674625123071,1,9,0.6694064669218797,1,4,0.8500376018794492,8,12,0.9091993512944004
168,168,168,168,168,12,5,0.7977549600481659,5,6,0.6055192349733476,4,5,0.6983434351166098,13,10,0.7716878972321172,3,6,0.4775694271110079,7,10,0.8789553305247363,12,13,0.7804733003858704,6,10,0.6254967967413239,7,10,0.9124392483191819,3,2,0.7627102798186451,1,5,0.5807443515612535,8,9,0.9312885111855302,13,9,0.7772551530265537,4,11,0.9286416722842862,1,4,0.7942912927859229
169,169,169,169,169,13,11,0.7279526638281402,8,3,0.9238815589074016,9,10,0.8746653842502078,2,8,0.9290255797897634,7,8,0.7074477516591401,7,10,0.9548632406008363,2,4,0.6768151046426396,6,10,0.6644644060702605,10,11,0.8296990382963607,9,13,0.7062597607761679,7,10,0.7651540402078733,13,4,0.89575376204086,1,7,0.724923920200673,5,6,0.6662564581493322,2,6,0.2938075484647222
170,170,170,170,170,4,5,0.7017554061501237,11,12,0.6721244068517254,8,10,0.9257669339251862,2,8,0.9268951035150204,4,13,0.5726642328155076,2,7,0.8397911513463141,7,8,0.8020168444752693,6,10,0.6460078665305148,3,6,0.6567057814444175,1,2,0.8896371914952315,2,1,0.5133419920289021,4,1,0.6878461632647016,2,5,0.7573593023505082,9,8,0.9315291169629007,2,5,0.7527506139991041
171,171,171,171,171,4,8,0.7497112246993265,3,10,0.7809290753019495,9,8,0.9310012188324662,1,9,0.6528286430600689,7,10,0.82876612611032,8,2,0.7906515396707308,3,12,0.8237583984876692,6,10,0.7064124751168102,5,12,0.7707383720803466,4,12,0.7626777199757269,1,11,0.4715571148189749,4,7,0.8953089874857931,1,4,0.696909073295078,6,7,0.501003548349731,6,13,0.6270742619765421
172,172,172,172,172,5,11,0.5924712700994533,4,7,0.6683596518371171,7,8,0.9118308721286569,5,12,0.7387324759521174,9,3,0.8900061906854932,6,3,0.713868352302861,3,5,0.551154605451043,6,10,0.5028070527284975,9,3,0.8995337939333488,4,5,0.7013042959357875,5,7,0.7272451314444611,9,5,0.8893354455303641,6,7,0.5832456828741398,1,5,0.8041888450620558,3,8,0.725484059516003
173,173,173,173,173,13,12,0.8107629322847317,4,5,0.7783996264924543,4,5,0.5318242575094677,13,5,0.1414673236907028,1,10,0.7478966599733796,8,9,0.8832463021927579,6,7,0.8275835856929998,6,10,0.4093452871104264,7,13,0.7512973327139483,6,2,0.8124146078546391,8,11,0.7415051888334907,10,9,0.8323025013347957,6,4,0.8266840766874874,6,5,0.8391031668443432,6,9,0.8334327388412431
