,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,h-a0,h-a1,h-r,i-a0,i-a1,i-r,j-a0,j-a1,j-r,k-a0,k-a1,k-r,l-a0,l-a1,l-r,m-a0,m-a1,m-r,n-a0,n-a1,n-r,o-a0,o-a1,o-r,p-a0,p-a1,p-r,q-a0,q-a1,q-r,r-a0,r-a1,r-r,s-a0,s-a1,s-r,t-a0,t-a1,t-r,top-a0,top-a1,top-r,baseline-a0,baseline-a1,baseline-r,u-a0,u-a1,u-r,v-a0,v-a1,v-r,w-a0,w-a1,w-r,x-a0,x-a1,x-r,y-a0,y-a1,y-r
125,3,5,0.735589411629858,4,10,0.7857211447824695,9,10,0.8669583653205089,4,6,0.5588844220492666,3,2,0.8315658429866003,11,8,0.7213516394759337,2,13,0.6311956275237003,2,8,0.8615398103108505,3,4,0.7341286503392165,1,6,0.4508048088218936,1,6,0.4508048088218936,5,13,0.4965051969835641,1,8,0.7114198307205106,2,3,0.8315658429866003,2,12,0.8615398099983336,10,6,0.736946647484272,3,11,0.7114343114677493,10,4,0.7857211447824695,4,8,0.7850111008891705,8,13,0.7183345230219438,10,8,0.8681073025000434,1,8,0.7114198307205106,1,2,0.6440149167304556,1,6,0.4508048088218936,6,7,0.6946543958700477,4,10,0.7857211447824695,9,11,0.7231439755217381
126,2,3,0.8171895583448283,3,9,0.8685693031870518,5,7,0.7344786898526476,3,4,0.7182270509510866,4,9,0.7768044515340529,3,9,0.8685693031870518,5,8,0.7747322886269735,11,12,0.712779717715482,6,9,0.7196569082997657,2,8,0.8513298984299443,7,5,0.7344786898526476,1,3,0.6451934611267195,3,5,0.7197269596226964,11,4,0.6085807269344632,7,4,0.7329947163266243,10,13,0.6994111667445431,2,7,0.8251495555753803,7,8,0.860928462465606,4,8,0.7732704122546925,8,10,0.8633974217400835,10,8,0.8633974217400835,1,8,0.698083162566893,5,2,0.7015403930093316,3,10,0.8670615341897632,2,5,0.7015403930093316,4,10,0.7740366345636756,8,5,0.7747322886269735
127,3,10,0.8475406919502159,1,2,0.594368829492171,3,8,0.8469344851688012,3,7,0.8171922222115995,4,7,0.70794322295445,2,6,0.5922464644563398,9,11,0.6943909585808062,11,10,0.6925507233661425,5,6,0.491757431143591,5,8,0.7533199748958084,4,7,0.70794322295445,11,8,0.691931038734479,13,9,0.669719211318475,9,13,0.669719211318475,5,4,0.5169116137318195,12,6,0.6789426628174906,2,7,0.8005540607842626,2,5,0.6742026006416505,13,2,0.5667210907268809,6,7,0.6313681520308632,10,8,0.8487073613804212,1,8,0.6731311114880605,2,4,0.6726472881344954,2,4,0.6726472881344954,12,3,0.8469344846286042,4,5,0.5169116137318195,5,7,0.7094855067876971
128,13,10,0.6653621032550923,8,10,0.8492516704478305,4,11,0.5802207003165017,8,13,0.6642773552260259,1,9,0.6770515953279419,2,3,0.7916232902707562,3,6,0.6131190682039527,1,10,0.6735607492003829,6,10,0.6802176439394246,6,12,0.6792273908069404,2,7,0.8006373727125953,3,4,0.691605958953182,1,8,0.6726120141274179,1,13,0.3266970104477693,4,7,0.70740849447154,9,8,0.848501361578796,3,9,0.8495402758427192,2,6,0.5922144238806111,8,12,0.8489194329031826,3,4,0.691605958953182,10,8,0.8492516704478305,1,8,0.6726120141274179,13,12,0.6642773540924277,8,2,0.8305264249824289,9,6,0.6840030502425145,3,9,0.8495402758427192,2,8,0.8305264249824289
129,2,8,0.8205107536585817,3,6,0.5920943114700401,9,8,0.8436649708019723,7,9,0.8363507284179036,8,2,0.8205107536585817,12,11,0.6828846887587461,3,6,0.5920943114700401,1,4,0.428637833704931,3,9,0.840163258796279,1,8,0.6585374878951792,2,13,0.5441324151928633,1,12,0.6585374870451249,9,11,0.6856737913760125,9,13,0.6522455498479668,3,6,0.5920943114700401,3,4,0.6744985393883948,7,9,0.8363507284179036,4,8,0.7385424111322902,2,6,0.5708690913475172,8,1,0.6585374878951792,10,8,0.8441511360137699,1,8,0.6585374878951792,4,6,0.4643810316908945,8,5,0.7401428875148894,5,8,0.7401428875148894,2,8,0.8205107536585817,1,7,0.6131134120806594
130,4,8,0.705709925503466,3,9,0.8132389866677927,2,4,0.6158351575617453,7,9,0.8109226458598557,10,11,0.6495055301271819,1,2,0.5299227717906636,1,8,0.6195092654426285,1,2,0.5299227717906636,13,4,0.3490673172218419,10,13,0.6058578985963178,5,10,0.7084496157607816,6,10,0.6225074515467326,1,4,0.3793602962735594,6,9,0.6268944266960014,4,6,0.413096144584181,11,6,0.3596580889746038,9,12,0.8220245770721164,5,8,0.7074942738068586,12,13,0.6046595567397409,4,8,0.705709925503466,10,8,0.8221441532783894,1,8,0.6195092654426285,1,2,0.5299227717906636,10,12,0.82214415296885,1,2,0.5299227717906636,4,5,0.4527005692034789,7,10,0.8093353689176894
131,10,6,0.5902427118040058,8,13,0.5725004405325114,1,3,0.5217392160431958,11,13,0.3219464283999232,2,4,0.5862018715289513,8,10,0.8064868139674503,2,5,0.5880635256110676,2,3,0.7180770758368247,3,8,0.7895228936596649,2,3,0.7180770758368247,3,12,0.789522892800479,4,13,0.308836237414146,9,10,0.8071469885371251,10,8,0.8064868139674503,4,7,0.627975884592838,8,10,0.8064868139674503,6,8,0.5890908092086536,12,8,0.8059787382936952,2,7,0.7311455619415994,8,11,0.6282341367852169,10,8,0.8064868139674503,1,8,0.5933634462657753,1,2,0.4981992877989042,3,5,0.6100417020788558,10,11,0.6290245492840842,9,3,0.7930212225375507,2,1,0.4981992877989042
132,6,11,0.3487383064145766,5,10,0.699018388946006,3,10,0.8048671232902251,9,10,0.8204356301784149,1,4,0.3639052042977371,11,12,0.6459239923710294,3,10,0.8048671232902251,7,13,0.5300028169847427,5,6,0.3986235309655537,5,11,0.5116166232384104,3,8,0.8041114045129518,2,10,0.7866561117153856,2,4,0.6026729532411009,4,6,0.3959041812979266,4,6,0.3959041812979266,1,2,0.5176441603850452,5,9,0.7028992572157118,2,9,0.7892698363301751,8,10,0.8198894566526873,1,7,0.5597834949957634,10,8,0.8198894566526873,1,8,0.611053654656456,1,3,0.5404888984756053,8,6,0.611096905414379,1,9,0.6164428440831904,2,8,0.7858813439982767,3,13,0.5043640476048935
133,1,2,0.5233407641066821,3,10,0.8091253184180641,2,3,0.7386274765559443,5,6,0.4043647399075034,4,7,0.6482280098828874,5,9,0.7073732953280885,6,9,0.6225418590583505,4,6,0.4016631792458625,7,2,0.7518862290914614,12,7,0.8084453264326853,1,3,0.5459608617005014,8,12,0.8238800143453788,5,1,0.3723111414829849,1,3,0.5459608617005014,4,5,0.4408996158260551,8,10,0.8243580906397446,2,3,0.7386274765559443,12,13,0.5986509592338298,4,5,0.4408996158260551,6,2,0.5158359394166893,10,8,0.8243580906397446,1,8,0.6167640346065384,12,2,0.7903697456871353,11,7,0.6262359003239998,11,5,0.5177535427464905,2,7,0.7518862290914614,12,1,0.6167640335851239
134,5,13,0.323279945606474,2,6,0.5019833486075894,9,13,0.5901737895555376,8,13,0.5839238724850281,3,8,0.796444297187552,1,12,0.5987751194616153,6,8,0.6028626898357788,1,10,0.5998766221687708,9,10,0.8123752475841501,1,2,0.5057608824520248,10,1,0.5998766221687708,1,3,0.5287502990618296,1,2,0.5057608824520248,2,5,0.5957514800907063,13,3,0.4955852011898372,10,11,0.6331237871088572,2,8,0.7780502585052455,3,10,0.7972079940627613,3,1,0.5287502990618296,2,7,0.739787369122457,10,8,0.8118030707789401,1,8,0.5987751204610331,2,6,0.5019833486075894,9,13,0.5901737895555376,2,6,0.5019833486075894,4,8,0.6871788845393568,3,10,0.7972079940627613
