,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,h-a0,h-a1,h-r,i-a0,i-a1,i-r,j-a0,j-a1,j-r,k-a0,k-a1,k-r,l-a0,l-a1,l-r,m-a0,m-a1,m-r,n-a0,n-a1,n-r,o-a0,o-a1,o-r,p-a0,p-a1,p-r,q-a0,q-a1,q-r,r-a0,r-a1,r-r,s-a0,s-a1,s-r,t-a0,t-a1,t-r,top-a0,top-a1,top-r,baseline-a0,baseline-a1,baseline-r,u-a0,u-a1,u-r,v-a0,v-a1,v-r,w-a0,w-a1,w-r,x-a0,x-a1,x-r,y-a0,y-a1,y-r
35,35,35,35,35,2,10,0.6452530764334999,10,3,0.6705675905384151,10,3,0.6705675905384151,10,9,0.6966019873834683,9,10,0.6966019873834683,10,9,0.6966019873834683,3,10,0.6705675905384151,3,10,0.6705675905384151,3,10,0.6705675905384151,3,10,0.6705675905384151,8,11,0.6111447833270427,8,12,0.6950428313615991,8,13,0.4202061096260489,8,10,0.6955970261575295,8,13,0.4202061096260489,8,12,0.6950428313615991,8,12,0.6950428313615991,8,12,0.6950428313615991,8,7,0.6687407941028547,8,12,0.6950428313615991,10,8,0.6955970261575295,1,8,0.4406430000355389,2,9,0.6482637662414527,9,10,0.6966019873834683,9,10,0.6966019873834683,8,2,0.6444070273227396,10,8,0.6955970261575295
36,36,36,36,36,2,10,0.6301424212451563,10,3,0.6562707235357892,10,3,0.6562707235357892,10,9,0.6849010566755367,9,10,0.6849010566755367,10,9,0.6849010566755367,3,10,0.6562707235357892,3,10,0.6562707235357892,3,10,0.6562707235357892,3,10,0.6562707235357892,8,11,0.5969719162782825,8,12,0.6831266602962462,8,13,0.39837330902279344,8,10,0.6837164984470134,8,13,0.39837330902279344,8,12,0.6831266602962462,8,12,0.6831266602962462,8,12,0.6831266602962462,8,7,0.6548530234806733,8,12,0.6831266602962462,10,8,0.6837164984470134,1,8,0.4233835092963302,2,9,0.633292150572429,9,10,0.6849010566755367,9,10,0.6849010566755367,8,2,0.6292621866939367,10,8,0.6837164984470134
37,37,37,37,37,2,10,0.6360784915438125,10,3,0.6617829359462447,10,3,0.6617829359462447,10,9,0.690907187571624,9,10,0.690907187571624,10,9,0.690907187571624,3,10,0.6617829359462447,3,10,0.6617829359462447,3,10,0.6617829359462447,3,10,0.6617829359462447,8,11,0.6034793322336649,8,12,0.6891240105772202,8,13,0.40575054481431216,8,10,0.6897083434514696,8,13,0.40575054481431216,8,12,0.6891240105772202,8,12,0.6891240105772202,8,12,0.6891240105772202,8,7,0.6608060721092448,8,12,0.6891240105772202,10,8,0.6897083434514696,1,8,0.4300957216575394,2,9,0.6392480989194282,9,10,0.690907187571624,9,10,0.690907187571624,8,2,0.6352034987135332,10,8,0.6897083434514696
38,38,38,38,38,2,10,0.6482841072591186,10,3,0.6732454790759242,10,3,0.6732454790759242,10,9,0.6994781677492012,9,10,0.6994781677492012,10,9,0.6994781677492012,3,10,0.6732454790759242,3,10,0.6732454790759242,3,10,0.6732454790759242,3,10,0.6732454790759242,8,11,0.6151687358957586,8,12,0.6979324628464263,8,13,0.424504501796064,8,10,0.6984799557416763,8,13,0.424504501796064,8,12,0.6979324628464263,8,12,0.6979324628464263,8,12,0.6979324628464263,8,7,0.6717130150528445,8,12,0.6979324628464263,10,8,0.6984799557416763,1,8,0.4441590586047064,2,9,0.6512946246809677,9,10,0.6994781677492012,9,10,0.6994781677492012,8,2,0.6474444320596604,10,8,0.6984799557416763
39,39,39,39,39,2,10,0.791017930631718,10,3,0.808597918358363,10,3,0.808597918358363,10,9,0.8233370943313552,9,10,0.8233370943313552,10,9,0.8233370943313552,3,10,0.808597918358363,3,10,0.808597918358363,3,10,0.808597918358363,3,10,0.808597918358363,8,11,0.6456215390641706,8,12,0.8223263340701107,8,13,0.5999709197702621,8,10,0.8227986356694231,8,13,0.5999709197702621,8,12,0.8223263340701107,8,12,0.8223263340701107,8,12,0.8223263340701107,8,7,0.8078515828085688,8,12,0.8223263340701107,10,8,0.8227986356694231,1,8,0.61144279942226,2,9,0.7936376439993768,9,10,0.8233370943313552,9,10,0.8233370943313552,8,2,0.7902521080263156,10,8,0.8227986356694231
40,40,40,40,40,2,10,0.8072779867060587,10,3,0.8240381756615349,10,3,0.8240381756615349,10,9,0.8309584170131467,9,10,0.8309584170131467,10,9,0.8309584170131467,3,10,0.8240381756615349,3,10,0.8240381756615349,3,10,0.8240381756615349,3,10,0.8240381756615349,8,11,0.6575687343181341,8,12,0.8305161840248982,8,13,0.6288631265353342,8,10,0.8309161112351218,8,13,0.6288631265353342,8,12,0.8305161840248982,8,12,0.8305161840248982,8,12,0.8305161840248982,8,7,0.8210416886842317,8,12,0.8305161840248982,10,8,0.8309161112351218,1,8,0.6324923738712422,2,9,0.8094842124202768,9,10,0.8309584170131467,9,10,0.8309584170131467,8,2,0.8065821792107897,10,8,0.8309161112351218
41,41,41,41,41,2,10,0.8122958671706766,10,3,0.8290219805729093,10,3,0.8290219805729093,10,9,0.8358558413133961,9,10,0.8358558413133961,10,9,0.8358558413133961,3,10,0.8290219805729093,3,10,0.8290219805729093,3,10,0.8290219805729093,3,10,0.8290219805729093,8,11,0.6659490308661676,8,12,0.8354587089492925,8,13,0.6352815703335418,8,10,0.8358517180209721,8,13,0.6352815703335418,8,12,0.8354587089492925,8,12,0.8354587089492925,8,12,0.8354587089492925,8,7,0.8259898169175827,8,12,0.8354587089492925,10,8,0.8358517180209721,1,8,0.6409757715277375,2,9,0.8144717567985016,9,10,0.8358558413133961,9,10,0.8358558413133961,8,2,0.8116072750664647,10,8,0.8358517180209721
42,42,42,42,42,2,10,0.8312748772653609,10,3,0.8469481654692803,10,3,0.8469481654692803,10,9,0.8494789287329464,9,10,0.8494789287329464,10,9,0.8494789287329464,3,10,0.8469481654692803,3,10,0.8469481654692803,3,10,0.8469481654692803,3,10,0.8469481654692803,8,11,0.6870611569653099,8,12,0.849458282404429,8,13,0.6649173302260067,8,10,0.8497943521204664,8,13,0.6649173302260067,8,12,0.849458282404429,8,12,0.849458282404429,8,12,0.849458282404429,8,7,0.8430409937167039,8,12,0.849458282404429,10,8,0.8497943521204664,1,8,0.6653569883908321,2,9,0.833196158664988,9,10,0.8494789287329464,9,10,0.8494789287329464,8,2,0.8306415045206694,10,8,0.8497943521204664
43,43,43,43,43,2,10,0.8208918526740235,10,3,0.8375352842406387,10,3,0.8375352842406387,10,9,0.8425024233024919,9,10,0.8425024233024919,10,9,0.8425024233024919,3,10,0.8375352842406387,3,10,0.8375352842406387,3,10,0.8375352842406387,3,10,0.8375352842406387,8,11,0.6786040119657508,8,12,0.8422989250678743,8,13,0.6479029166945309,8,10,0.842669982154764,8,13,0.6479029166945309,8,12,0.8422989250678743,8,12,0.8422989250678743,8,12,0.8422989250678743,8,7,0.8338606785368158,8,12,0.8422989250678743,10,8,0.842669982154764,1,8,0.6535320552135505,2,9,0.8229193259307181,9,10,0.8425024233024919,9,10,0.8425024233024919,8,2,0.8202253167075932,10,8,0.842669982154764
44,44,44,44,44,2,10,0.8321083801516909,10,3,0.847801221811695,10,3,0.847801221811695,10,9,0.8474952866720027,9,10,0.8474952866720027,10,9,0.8474952866720027,3,10,0.847801221811695,3,10,0.847801221811695,3,10,0.847801221811695,3,10,0.847801221811695,8,11,0.686102432121893,8,12,0.8476677398208351,8,13,0.6690678104688321,8,10,0.8479832657076811,8,13,0.6690678104688321,8,12,0.8476677398208351,8,12,0.8476677398208351,8,12,0.8476677398208351,8,7,0.8428749194660495,8,12,0.8476677398208351,10,8,0.8479832657076811,1,8,0.6672709021797774,2,9,0.8338804265213843,9,10,0.8474952866720027,9,10,0.8474952866720027,8,2,0.8314950008980393,10,8,0.8479832657076811
